Lemma,POS,genitive_singular
λειτουργός,noun,λειτουργοῦ
λέντιον,noun,λεντίου
λεπίς,noun,λεπίδος
Λευίτης,noun,Λευίτου
λήθη,noun,λήθης
λῃστής,noun,λῃστοῦ
λίβανος,noun,λιβάνου
λιβανωτός,noun,λιβανωτοῦ
Λιβερτῖνος,noun,Λιβερτίνου
λιμός,noun,λιμοῦ
λίνον,noun,λίνου
λίτρα,noun,λίτρας
λίψ,noun,λιβός
λόγιον,noun,λογίου
λογισμός,noun,λογισμοῦ
λογομαχία,noun,λογομαχίας
λόγχη,noun,λόγχης
λοίδορος,noun,λοιδόρου
λοιμός,noun,λοιμοῦ
Λυδία,noun,Λυδίας
λύκος,noun,λύκου
λύσις,noun,λύσεως
Λύστρα,noun,Λύστρας
λύτρον,noun,λύτρου
λύτρωσις,noun,λυτρώσεως
λυτρωτής,noun,λυτρωτοῦ
Λωΐς,noun,Λωΐδος
Μαγδαληνή,noun,Μαγδαληνῆς
μαγεία,noun,μαγείας
μάγος,noun,μάγου
Μαθθαῖος,noun,Μαθθαίου
Μαθθίας,noun,Μαθθίου
μακαρισμός,noun,μακαρισμοῦ
μάκελλον,noun,μακέλλου
μαλακία,noun,μαλακίας
μάμμη,noun,μάμμης
μανία,noun,μανίας
μαστός,noun,μαστοῦ
ματαιολογία,noun,ματαιολογίας
μάχη,noun,μάχης
μεγιστάν,noun,μεγιστᾶνος
μέθη,noun,μέθης
μεθοδεία,noun,μεθοδείας
μέθυσος,noun,μεθύσου
μέλι,noun,μέλιτος
μέλος,noun,μέλους
μεμβράνα,noun,μεμβράνας
μέριμνα,noun,μερίμνας
μεριστής,noun,μεριστοῦ
μεσημβρία,noun,μεσημβρίας
Μεσοποταμία,noun,Μεσοποταμίας
μεσότοιχον,noun,μεσοτοίχου
μεσουράνημα,noun,μεσουρανήματος
Μεσσίας,noun,Μεσσίου
μετάλημψις,noun,μεταλήμψεως
μετρητής,noun,μετρητοῦ
Μῆδος,noun,Μήδου
μηλωτή,noun,μηλωτῆς
μήν,noun,μηνός
μηρός,noun,μηροῦ
μητρολῴας,noun,μητρολῴου
μίασμα,noun,μιάσματος
μίγμα,noun,μίγματος
μίλιον,noun,μιλίου
μιμητής,noun,μιμητοῦ
μισθαποδοσία,noun,μισθαποδοσίας
μίσθωμα,noun,μισθώματος
Μιτυλήνη,noun,Μιτυλήνης
Μνάσων,noun,Μνάσωνος
μνεία,noun,μνείας
μνῆμα,noun,μνήματος
μνήμη,noun,μνήμης
μνημόσυνον,noun,μνημοσύνου
μόδιος,noun,μοδίου
μοιχεία,noun,μοιχείας
μοιχός,noun,μοιχοῦ
μομφή,noun,μομφῆς
μονή,noun,μονῆς
μορφή,noun,μορφῆς
μόρφωσις,noun,μορφώσεως
μόσχος,noun,μόσχου
μόχθος,noun,μόχθου
μυελός,noun,μυελοῦ
μῦθος,noun,μύθου
μυριάς,noun,μυριάδος
Μυσία,noun,Μυσίας
μώλωψ,noun,μώλωπος
μῶμος,noun,μώμου
ναύκληρος,noun,ναυκλήρου
ναύτης,noun,ναύτου
νεανίσκος,noun,νεανίσκου
νέκρωσις,noun,νεκρώσεως
νέφος,noun,νέφους
νεφρός,noun,νεφροῦ
νεωκόρος,noun,νεωκόρου
Νηρεύς,noun,Νηρέως
νησίον,noun,νησίου
νηστεία,noun,νηστείας
Νικάνωρ,noun,Νικάνορος
Νικολαΐτης,noun,Νικολαΐτου
Νικόλαος,noun,Νικολάου
Νικόπολις,noun,Νικοπόλεως
νῖκος,noun,νίκους
Νινευίτης,noun,Νινευίτου
νιπτήρ,noun,νιπτῆρος
νόημα,noun,νοήματος
νομή,noun,νομῆς
νόμισμα,noun,νομίσματος
νομοδιδάσκαλος,noun,νομοδιδασκάλου
νόσος,noun,νόσου
νοσσία,noun,νοσσίας
νοσσίον,noun,νοσσίου
νοσσός,noun,νοσσοῦ
νουθεσία,noun,νουθεσίας
Νύμφας,noun,Νύμφου
νυχθήμερον,noun,νυχθημέρου
ξενία,noun,ξενίας
ξέστης,noun,ξέστου
ὄγκος,noun,ὄγκου
ὀδύνη,noun,ὀδύνης
ὀδυρμός,noun,ὀδυρμοῦ
Ὀζίας,noun,Ὀζίου
ὀθόνη,noun,ὀθόνης
ὀθόνιον,noun,ὀθονίου
οἰκέτης,noun,οἰκέτου
οἴκημα,noun,οἰκήματος
οἰκητήριον,noun,οἰκητηρίου
οἰκιακός,noun,οἰκιακοῦ
οἰκοδόμος,noun,οἰκοδόμου
οἰκονόμος,noun,οἰκονόμου
οἰνοφλυγία,noun,οἰνοφλυγίας
ὀλιγοπιστία,noun,ὀλιγοπιστίας
ὁλοκαύτωμα,noun,ὁλοκαυτώματος
ὁλοκληρία,noun,ὁλοκληρίας
Ὀλυμπᾶς,noun,Ὀλυμπᾶ
ὄλυνθος,noun,ὀλύνθου
ὁμιλία,noun,ὁμιλίας
ὁμίχλη,noun,ὁμίχλης
ὄμμα,noun,ὄμματος
ὁμοιότης,noun,ὁμοιότητος
ὁμοίωμα,noun,ὁμοιώματος
ὁμοίωσις,noun,ὁμοιώσεως
ὄναρ,noun,ὀνείρου
ὀνάριον,noun,ὀναρίου
ὀνειδισμός,noun,ὀνειδισμοῦ
Ὀνήσιμος,noun,Ὀνησίμου
ὀπτασία,noun,ὀπτασίας
ὀργυιά,noun,ὀργυιάς
ὅρμημα,noun,ὁρμήματος
ὁροθεσία,noun,ὁροθεσίας
ὁσιότης,noun,ὁσιότητος
ὀστέον,noun,ὀστέου
οὐρά,noun,οὐράς
Οὐρβανός,noun,Οὐρβανοῦ
ὀφειλέτης,noun,ὀφειλέτου
ὀφειλή,noun,ὀφειλῆς
ὀφείλημα,noun,ὀφειλήματος
ὀφθαλμοδουλία,noun,ὀφθαλμοδουλίας
ὀχύρωμα,noun,ὀχυρώματος
ὀψάριον,noun,ὀψαρίου
ὀψώνιον,noun,ὀψωνίου
πάθημα,noun,παθήματος
πάθος,noun,πάθους
παιδαγωγός,noun,παιδαγωγοῦ
παιδευτής,noun,παιδευτοῦ
παλαιότης,noun,παλαιότητος
πανδοχεῖον,noun,πανδοχείου
πανδοχεύς,noun,πανδοχέως
πανήγυρις,noun,πανηγύρεως
πανοπλία,noun,πανοπλίας
πανουργία,noun,πανουργίας
παραβάτης,noun,παραβάτου
παράδεισος,noun,παραδείσου
παράδοσις,noun,παραδόσεως
παραθήκη,noun,παραθήκης
παράκλητος,noun,παρακλήτου
παραμυθία,noun,παραμυθίας
παραπικρασμός,noun,παραπικρασμοῦ
παραφρονία,noun,παραφρονίας
παραχειμασία,noun,παραχειμασίας
πάρδαλις,noun,παρδάλεως
πάρεσις,noun,παρέσεως
Πάρθος,noun,Πάρθου
Παρμενᾶς,noun,Παρμενᾶ
πάροδος,noun,παρόδου
παροξυσμός,noun,παροξυσμοῦ
παροργισμός,noun,παροργισμοῦ
Πάτμος,noun,Πάτμου
πατρίς,noun,πατρίδος
Πατροβᾶς,noun,Πατροβᾶ
πατρολῴας,noun,πατρολῴου
πέδη,noun,πέδης
πεῖρα,noun,πείρας
πέλαγος,noun,πελάγους
πένθος,noun,πένθους
πεποίθησις,noun,πεποιθήσεως
πέρας,noun,πέρατος
Πέργαμος,noun,Περγάμου
περικάθαρμα,noun,περικαθάρματος
περικεφαλαία,noun,περικεφαλαίας
περισσεία,noun,περισσείας
περιστερά,noun,περιστεράς
Περσίς,noun,Περσίδος
πήγανον,noun,πηγάνου
πῆχυς,noun,πήχεως
πιθανολογία,noun,πιθανολογίας
πινακίδιον,noun,πινακιδίου
Πισιδία,noun,Πισιδίας
πλανήτης,noun,πλανήτου
πλάξ,noun,πλακός
πλάτος,noun,πλάτους
πλέγμα,noun,πλέγματος
πλεονέκτης,noun,πλεονέκτου
πλευρά,noun,πλευράς
πλήκτης,noun,πλήκτου
πλησμονή,noun,πλησμονῆς
πλοιάριον,noun,πλοιαρίου
ποίημα,noun,ποιήματος
ποίησις,noun,ποιήσεως
ποιητής,noun,ποιητοῦ
ποιμήν,noun,ποιμένος
πόλεμος,noun,πολέμου
πολιτάρχης,noun,πολιτάρχου
πολίτης,noun,πολίτου
πολυλογία,noun,πολυλογίας
πόμα,noun,πόματος
πορεία,noun,πορείας
πορισμός,noun,πορισμοῦ
Πόρκιος,noun,Πορκίου
πόρνος,noun,πόρνου
πόσις,noun,πόσεως
Ποτίολοι,noun,Ποτιόλων
πότος,noun,πότου
πραγματεία,noun,πραγματείας
πραιτώριον,noun,πραιτωρίου
πράκτωρ,noun,πράκτορος
πρασιά,noun,πρασιάς
πραϋπάθια,noun,πραϋπαθίας
πρεσβεία,noun,πρεσβείας
πρέσβυς,noun,πρέσβυτος
πρεσβύτης,noun,πρεσβύτητος
πρεσβῦτις,noun,πρεσβύτιδος
Πρίσκα,noun,Πρίσκας
Πρίσκιλλα,noun,Πρίσκιλλας
προαύλιον,noun,προαυλίου
πρόγνωσις,noun,προγνώσεως
προδότης,noun,προδότου
προκοπή,noun,προκοπῆς
προπάτωρ,noun,προπάτορος
προσαγωγή,noun,προσαγωγῆς
προσήλυτος,noun,προσηλύτου
προσκαρτέρησις,noun,προσκαρτερήσεως
προσκεφάλαιον,noun,προσκεφαλαίου
πρόσκλισις,noun,προσκλίσεως
προσκοπή,noun,προσκοπῆς
προσκυνητής,noun,προσκυνητοῦ
προσφάγιον,noun,προσφαγίου
πρόσχυσις,noun,προσχύσεως
προσωπολημψία,noun,προσωπολημψίας
πρόφασις,noun,προφάσεως
προφῆτις,noun,προφήτιδος
Πρόχορος,noun,Προχόρου
πρωτοκαθεδρία,noun,πρωτοκαθεδρίας
πρωτοκλισία,noun,πρωτοκλισίας
πρωτοστάτης,noun,πρωτοστάτου
πρωτοτόκια,noun,πρωτοτοκίας
πτέρνος,noun,πτέρνου
πτερύγιον,noun,πτερυγίου
πτέρυξ,noun,πτέρυγος
πτόησις,noun,πτοήσεως
Πτολεμαΐς,noun,Πτολεμαΐδος
πτῶμα,noun,πτώματος
πτωχεία,noun,πτωχείας
πυγμή,noun,πυγμῆς
πύθων,noun,πύθωνος
πυρά,noun,πυράς
πύργος,noun,πύργου
πυρετός,noun,πυρετοῦ
πῶλος,noun,πώλου
πώρωσις,noun,πωρώσεως
ῥαβδοῦχος,noun,ῥαβδούχου
ῥάπισμα,noun,ῥαπίσματος
ῥεδή,noun,ῥεδῆς
Ῥήγιον,noun,Ῥηγίου
ῥιπή,noun,ῥιπῆς
Ῥόδος,noun,Ῥόδου
ῥομφαία,noun,ῥομφαίας
ῥύμη,noun,ῥύμης
ῥυπαρία,noun,ῥυπαρίας
ῥύσις,noun,ῥύσιεως
ῥυτίς,noun,ῥυτίδος
σαγήνη,noun,σαγήνης
Σαδδουκαῖος,noun,Σαδδουκαίου
σάκκος,noun,σάκκου
Σαλαμίς,noun,Σαλαμίνος
Σαλμώνη,noun,Σαλμώνης
σαλπιστής,noun,σαλπιστοῦ
Σαμαρίτης,noun,Σαμαρίτου
Σαμοθρᾴκη,noun,Σαμοθρᾴκης
Σάμος,noun,Σάμου
σανδάλιον,noun,σανδαλίου
σανίς,noun,σανίδος
Σάπφιρα,noun,Σαπφίρας
σαργάνη,noun,σαργάνης
Σάρδεις,noun,Σάρδεως
σάρδιον,noun,σαρδίου
Σαρών,noun,Σαρώνος
σάτον,noun,σάτου
σεαυτοῦ,reflexive pronoun,σεαυτοῦ
σέβασμα,noun,σεβάσματος
σειρά,noun,σειράς
σεισμός,noun,σεισμοῦ
Σελεύκεια,noun,Σελευκείας
σεμίδαλις,noun,σεμιδάλεως
Σέργιος,noun,Σεργίου
σιαγών,noun,σιαγόνος
σικάριος,noun,σικαρίου
Σίλας,noun,Σιλᾶ
σιμικίνθιον,noun,σιμικινθίου
σινδών,noun,σινδόνος
σιτίον,noun,σιτίου
σιτομέτριον,noun,σιτομετρίου
σκέλος,noun,σκέλους
σκέπασμα,noun,σκεπάσματος
σκευή,noun,σκευῆς
σκηνοποιός,noun,σκηνοποιοῦ
σκιά,noun,σκιάς
σκληροκαρδία,noun,σκληροκαρδίας
σκληρότης,noun,σκληρότητος
σκοπός,noun,σκοποῦ
σκύβαλον,noun,σκυβάλου
σκῦλον,noun,σκύλου
Σόδομα,noun,Σοδόμας
σουδάριον,noun,σουδαρίου
Σπανία,noun,Σπανίας
σπεκουλάτωρ,noun,σπεκουλάτορος
σπήλαιον,noun,σπηλαίου
σπιλάς,noun,σπιλάδος
σπίλος,noun,σπίλου
σπλάγχνον,noun,σπλάγχνου
σπόγγος,noun,σπόγγου
σποδός,noun,σποδοῦ
σπόρος,noun,σπόρου
σπυρίς,noun,σπυρίδος
στάδιον,noun,σταδίου
στάδιος,noun,σταδίου
στασιαστής,noun,στασιαστοῦ
στατήρ,noun,στατήρος
σταφυλή,noun,σταφυλῆς
στάχυς,noun,στάχυος
στέγη,noun,στέγης
στέμμα,noun,στέμματος
στενοχωρία,noun,στενοχωρίας
στερέωμα,noun,στερεώματος
στέφανος,noun,στεφάνου
στῆθος,noun,στῆθους
στιβάς,noun,στιβάδος
στίγμα,noun,στίγματος
στιγμή,noun,στιγμῆς
στοά,noun,στοάς
στοιχεῖον,noun,στοιχείου
στολή,noun,στολῆς
στόμαχος,noun,στομάχου
στρατηγός,noun,στρατηγοῦ
στρατιώτης,noun,στρατιώτου
στρατόπεδον,noun,στρατοπέδου
στρουθίον,noun,στρουθίου
σύ,personal pronoun,σου
συγγνώμη,noun,συγγνώμης
συγκοινωνός,noun,συγκοινωνοῦ
συγκυρία,noun,συγκυρίας
συκάμινος,noun,συκαμίνου
συκομορέα,noun,συκομορέας
συμμαθητής,noun,συμμαθητοῦ
συμμιμητής,noun,συμμιμητοῦ
συμπολίτης,noun,συμπολίτου
συμπόσιον,noun,συμποσίου
συμφυλέτης,noun,συμφυλέτου
συναιχμάλωτος,noun,συναιχμαλώτου
σύνδεσμος,noun,συνδέσμου
συνέκδημος,noun,συνεκδήμου
συνήθεια,noun,συνηθείας
συνηλικιώτης,noun,συνηλικιώτου
συνοδία,noun,συνοδίας
Συντύχη,noun,Συντύχης
συνωμοσία,noun,συνωμοσίας
Συράκουσαι,noun,Συρακουσῶν
Σύρτις,noun,Σύρτεως
σύσσημον,noun,συσσήμου
συστρατιώτης,noun,συστρατιώτου
σφάγιον,noun,σφαγίου
σφραγίς,noun,σφραγίδος
σφυδρόν,noun,σφυδροῦ
σχῆμα,noun,σχήματος
σχίσμα,noun,σχίσματος
σχοινίον,noun,σχοινίου
σχολή,noun,σχολῆς
Σωσθένης,noun,Σωσθένους
ταβέρνη,noun,ταβέρνης
τάγμα,noun,τάγματος
ταλαιπωρία,noun,ταλαιπωρίας
τάλαντον,noun,ταλάντου
ταμεῖον,noun,ταμείου
τάξις,noun,τάξεως
Ταρσεύς,noun,Ταρσέως
Ταρσός,noun,Ταρσοῦ
ταφή,noun,ταφῆς
τάχος,noun,τάχους
τεκμήριον,noun,τεκμηρίου
τεκνίον,noun,τεκνίου
τελειωτής,noun,τελειότητος
τελώνης,noun,τελώνου
τελώνιον,noun,τελωνίου
τέρας,noun,τέρατος
τετράδιον,noun,τετραδίου
τεχνίτης,noun,τεχνίτου
τήρησις,noun,τηρήσεως
Τίμων,noun,Τίμωνος
τις,indefinite pronoun,τινός
τίτλος,noun,τίτλου
τόκος,noun,τόκου
τολμητής,noun,τολμητοῦ
τόξον,noun,τόξου
τοὐναντίον,noun,τοὐναντίου
τοὔνομα,noun,τοὐνόματος
τράγος,noun,τράγου
τραπεζίτης,noun,τραπεζίτου
τραῦμα,noun,τραύματος
τράχηλος,noun,τραχήλου
τρίβολος,noun,τριβόλου
τρίβος,noun,τρίβου
τριετία,noun,τριετίας
τρόπος,noun,τρόπου
Τρόφιμος,noun,Τροφίμου
τροχιά,noun,τροχιάς
τροχός,noun,τροχοῦ
τρύβλιον,noun,τρυβλίου
τρυγών,noun,τρυγόνος
Τρύφαινα,noun,Τρυφαίνας
τρυφή,noun,τρυφῆς
Τρυφῶσα,noun,Τρυφώσας
τύπος,noun,τύπου
Τύριος,noun,Τυρίου
Τυχικός,noun,Τυχικοῦ
ὕαλος,noun,ὑάλου
ὑβριστής,noun,ὑβριστοῦ
ὑδρία,noun,ὑδρίας
ὑετός,noun,ὑετοῦ
ὕμνος,noun,ὕμνου
ὑπάντησις,noun,ὑπαντήσεως
ὑπερβολή,noun,ὑπερβολῆς
ὑπεροχή,noun,ὑπεροχῆς
ὑπερῷον,noun,ὑπερῴου
ὑπηρέτης,noun,ὑπηρέτου
ὑπογραμμός,noun,ὑπογραμμοῦ
ὑπόδειγμα,noun,ὑποδείγματος
ὑποκριτής,noun,ὑποκριτοῦ
ὑπολήνιον,noun,ὑποληνίου
ὑπόμνησις,noun,ὑπομνήσεως
ὑπόνοια,noun,ὑπονοίας
ὑποπόδιον,noun,ὑποποδίου
ὑποταγή,noun,ὑποταγῆς
ὑποτύπωσις,noun,ὑποτυπώσεως
ὕψωμα,noun,ὑψώματος
φαιλόνης,noun,φαιλόνους
φανέρωσις,noun,φανερώσεως
φανός,noun,φανοῦ
φαρμακεία,noun,φαρμακείας
φάρμακον,noun,φαρμάκου
φαρμακός,noun,φαρμακοῦ
φέγγος,noun,φέγγους
φθόγγος,noun,φθόγγου
φιάλη,noun,φιάλης
Φιλαδέλφεια,noun,Φιλαδελφείας
φιλανθρωπία,noun,φιλανθρωπίας
φίλημα,noun,φιλήματος
Φιλήμων,noun,Φιλήμωνος
Φιλιππήσιος,noun,Φιλιππησίου
Φίλιπποι,noun,Φιλίππων
Φιλόλογος,noun,Φιλολόγου
φιλόσοφος,noun,φιλοσόφου
Φλέγων,noun,Φλέγοντος
φλόξ,noun,φλογός
φόβητρον,noun,φοβήτρου
Φοίβη,noun,Φοίβης
Φοῖνιξ,noun,Φοίνικος
φονεύς,noun,φονέως
φόρος,noun,φόρου
φραγέλλιον,noun,φραγελλίου
φρεναπάτης,noun,φρεναπάτου
φρήν,noun,φρενός
φρόνησις,noun,φρονήσεως
φρύγανον,noun,φρυγάνου
Φρυγία,noun,Φρυγίας
φυλακτήριον,noun,φυλακτηρίου
φύλαξ,noun,φύλακος
φύλλον,noun,φύλλου
φυσίωσις,noun,φυσιώσεως
φωλεός,noun,φωλεοῦ
φωστήρ,noun,φωστήρος
φωτισμός,noun,φωτισμοῦ
χαλινός,noun,χαλινοῦ
χαλκίον,noun,χαλκίου
χαλκολίβανον,noun,χαλκολιβάνου
χάραγμα,noun,χαράγματος
χάραξ,noun,χάρακος
χεῖλος,noun,χείλεος
χειραγωγός,noun,χειραγωγοῦ
χειρόγραφον,noun,χειρογράφου
χιλίαρχος,noun,χιλιάρχου
χιλιάς,noun,χιλιάδος
χιτών,noun,χιτώνος
χλαμύς,noun,χλαμύδος
χοῖνιξ,noun,χοίνικος
χοῖρος,noun,χοίρου
χορός,noun,χοροῦ
χόρτασμα,noun,χορτάσματος
χρεοφειλέτης,noun,χρεοφειλέτου
χρῆμα,noun,χρήματος
χρῆσις,noun,χρήσεως
χρῖσμα,noun,χρίσματος
Χριστιανός,noun,Χριστιανοῦ
χῶρος,noun,χώρου
ψαλμός,noun,ψαλμοῦ
ψευδάδελφος,noun,ψευδαδέλφου
ψευδαπόστολος,noun,ψευδαποστόλου
ψευδοδιδάσκαλος,noun,ψευδοδιδασκάλου
ψευδομαρτυρία,noun,ψευδομαρτυρίας
ψευδόμαρτυς,noun,ψευδομάρτυρος
ψευδόχριστος,noun,ψευδοχρίστου
ψεῦσμα,noun,ψεύσματος
ψεύστης,noun,ψεύστου
ψῆφος,noun,ψήφου
ψιθυρισμός,noun,ψιθυρισμοῦ
ψιθυριστής,noun,ψιθυριστοῦ
ψίξ,noun,ψιχός
ψωμίον,noun,ψωμίου
ᾠδή,noun,ᾠδῆς
ὠδίν,noun,ὠδῖνος
ᾠόν,noun,ᾠοῦ
ὠτάριον,noun,ὠταρίου
