lemma,gender,declension,gs
ta/xos,neuter,,ta/xous
*)/alfa,neuter,3,
sugkoinwno/s,masculine,,sugkoinwnou=
*pa/tmos,feminine,,*pa/tmou
*smu/rna,feminine,,*smu/rnhs
*pe/rgamos,feminine,,*perga/mou
*qua/teira,feminine,2,*quatei/rwn
*sa/rdeis,feminine,,*sa/rdewn
*filade/lfeia,feminine,,*filadelfei/as
qri/c,feminine,,trixo/s
xalkoli/banon,masculine,,xalkoliba/nou
r(omfai/a,feminine,,r(omfai/as
klei/s,feminine,,kleido/s
*nikolai/+ths,masculine,,*nikolai/+tou
*satana=s,masculine,3,
ste/fanos,masculine,,stefa/nou
*bala/k,masculine,,*bala/k
ma/nna,neuter,3,
yh=fos,feminine,,yh/fou
*)ieza/bel,feminine,,*)ieza/bel
profh=tis,feminine,,profh/tidos
nefro/s,masculine,,nefrou=
ba/ros,neuter,,ba/rous
skeu=os,neuter,,skeu/ous
kollou/rion,neuter,,kollouri/ou
i)/aspis,feminine,,i)a/spidos
lampa/s,feminine,,lampa/dos
a)na/pausis,feminine,,a)napau/sews
sfragi/s,feminine,,sfragi/dos
*)iou/das,masculine,3,
ke/ras,neuter,,ke/ratos
fia/lh,feminine,,fia/lhs
muria/s,feminine,,muria/dos
xilia/s,feminine,,xilia/dos
kti/sma,neuter,,kti/smatos
xoi=nic,feminine,,xoi/nikos
limo/s,masculine,,limou=
o)/lunqos,masculine,,o)lu/nqou
megista/n,masculine,,megista=nos
xili/arxos,masculine,,xilia/rxou
*manassh=s,masculine,3,
foi=nic,masculine,,foi/nikos
kau=ma,neuter,3,kau/matos
da/kruon,neuter,,dakru/ou
h(miw/rion,neuter,,h(miwri/ou
a)/yinqos,feminine,,a)yi/nqou
mesoura/nhma,neuter,3,mesouranh/matos
a)kri/s,feminine,,a)kri/dos
mh/n,masculine,,mhno/s
o(moi/wma,neuter,3,o(moiw/matos
dismuria/s,feminine,3,dismuria/dos
fa/rmakon,neuter,,farma/kou
kle/mma,neuter,3,kle/mmatos
biblari/dion,neuter,,bibliaridi/ou
me/li,neuter,,me/litos
ptw=ma,neuter,3,ptw/matos
*so/doma,neuter,2,*sodo/mwn
mnh=ma,neuter,3,mnh/matos
dw=ron,neuter,,dw/rou
dia/dhma,neuter,3,diadh/matos
pa/rdalis,feminine,,parda/lews
ai)xmalwsi/a,feminine,,ai)xmalwsi/as
xa/ragma,neuter,3,xara/gmatos
kiqarw|do/s,masculine,,kiqarw|dou=
a)parxh/,feminine,,a)parxh=s
dre/panon,neuter,,drepa/nou
xalino/s,masculine,,xalinou=
sta/dios,masculine,,stadi/ou
li/non,neuter,,li/nou
sth=qos,neuter,,sth/qous
e(/lkos,neuter,,e(/lkous
ba/traxos,masculine,,batra/xou
a)sxhmosu/nh,feminine,,a)sxhmosu/nhs
bde/lugma,neuter,3,bdelu/gmatos
qau=ma,neuter,3,qau/matos
katoikhth/rion,neuter,,katoikhthri/ou
e)/mporos,masculine,,e)mpo/rou
a)di/khma,neuter,3,a)dikh/matos
pe/nqos,neuter,,pe/nqous
go/mos,masculine,,go/mou
kinna/mwmon,neuter,,kinnamw/mou
a)/mwmon,neuter,,a)mw/mou
li/banos,masculine,,liba/nou
kth=nos,neuter,3,kth/nous
r(e/dh,feminine,,r(e/dhs
o)pw/ra,feminine,1,
kubernh/ths,masculine,,kubernh/tou
nau/ths,masculine,,nau/tou
o(/rmhma,neuter,3,o(rmh/matos
au)lhth/s,masculine,,au)lhtou=
salpisth/s,masculine,,salpistou=
a(/lusis,feminine,,a(lu/sews
e)/tos,neuter,,e)/tous
*gw/g,masculine,,*gw/g
*magw/g,masculine,,*magw/g
pla/tos,neuter,,pla/tous
foneu/s,masculine,,fone/ws
po/rnos,masculine,,po/rnou
ei)dwlola/trhs,masculine,,ei)dwlola/trou
fwsth/r,masculine,,fwsth/ros
borra=s,masculine,3,
dusmh/,feminine,,dusmh=s
ph=xus,masculine,,ph/xeos
u(/alos,masculine,,u(a/lou
dih/ghsis,feminine,,dihgh/sews
au)to/pths,masculine,,au)to/ptou
u(phre/ths,masculine,,u(phre/tou
*qeo/filos,masculine,,*qeofi/lou
a)sfa/leia,feminine,,a)sfalei/as
*)abia/,masculine,3,
*)elisa/bet,feminine,,*)elisa/bet
e)/qos,neuter,,e)/qous
si/kera,neuter,2,
o)ptasi/a,feminine,,o)ptasi/as
o)/neidos,neuter,,o)nei/dou
*maria/m,feminine,,*maria/m
gh=ras,neuter,3,gh/rws
pinaki/dion,neuter,,pinakidi/ou
o(sio/ths,feminine,3,o(sio/thtos
a)/fesis,feminine,,a)fe/sews
spla/gxnon,neuter,,spla/gxnou
do/gma,neuter,3,do/gmatos
kata/luma,neuter,3,katalu/matos
*(ieroso/luma,neuter,2,*(ierosolu/mwn
zeu=gos,neuter,,zeu/gous
trugw/n,feminine,,trugo/nos
nosso/s,masculine,,nossou=
peristera/,feminine,,peristera=s
goneu/s,masculine,,gone/ws
a)gka/lh,feminine,,a)gka/lhs
pa/sxa,neuter,3,
sunodi/a,feminine,,sunodi/as
dida/skalos,masculine,,didaska/lou
a)po/krisis,feminine,,a)pokri/sews
tri/bos,feminine,,tri/bou
bouno/s,masculine,,bounou=
ge/nnhma,neuter,3,gennh/matos
e)/xidna,feminine,,e)xi/dnas
telw/nhs,masculine,,telw/nou
o)yw/nion,neuter,,o)qwni/ou
i(ma/s,masculine,3,i(ma/ntos
ptu/on,neuter,2,
a)poqh/kh,feminine,,a)poqh/khs
*)iwda/,masculine,3,
*(rhsa/,masculine,3,
*melea/,masculine,3,
*menna/,masculine,3,
*mattaqa/,masculine,3,
*sala/,masculine,3,
*qa/ra,masculine,3,
*maqousala/,masculine,3,
stigmh/,feminine,,stigmh=s
*nazara/,feminine,3,*nazara/
ai)xma/lwtos,masculine,,ai)xmalw/tou
a)na/bleyis,feminine,,a)nable/yews
*kafarnaou/m,feminine,,*kafarnaou/m
patri/s,feminine,,patri/dos
*sa/repta,neuter,3,*sa/repta
h)=xos,masculine,3,
pureto/s,masculine,,puretou=
a(lieu/s,masculine,,a(lie/ws
a)/gra,feminine,,a)/gras
e)pista/ths,masculine,,e)pista/tou
go/nu,neuter,,go/natos
koinwno/s,masculine,,koinwnou=
nomodida/skalos,masculine,,nomodidaska/lou
klini/dion,neuter,,klinidi/ou
grammateu/s,masculine,,grammate/ws
telw/nion,neuter,,telwni/ou
doxh/,feminine,,doxh=s
e)pi/blhma,neuter,3,e)piblh/matos
sta/xus,masculine,,sta/xuos
*barqolomai=os,masculine,,*barqolomai/ou
*maqqai=os,masculine,,*maqqai/ou
*qwma=s,masculine,1,*qwma=
*zhlwth/s,masculine,,*zhlw/tou
*)iskariw/q,masculine,,*)iskariw/q
prodo/ths,masculine,,prodo/tou
ka/rfos,neuter,,ka/rfou
doko/s,feminine,,dokou=
u(pokrith/s,masculine,,u(pokritou=
ste/gh,feminine,,ste/ghs
stratiw/ths,masculine,,stratiw/tou
*nai/+n,feminine,,*nai/+n
neani/skos,masculine,,neani/skou
a)la/bastron,neuter,,a)laba/strou
xreofeile/ths,masculine,,xreofeile/tou
danisth/s,masculine,,danistou=
fi/lhma,neuter,3,filh/matos
*magdalhnh/,feminine,,*magdalhnh=s
*xouza=s,masculine,3,
i)kma/s,feminine,3,i)kma/dos
pe/dh,feminine,,pe/dhs
desmo/n,neuter,,desmou=
legiw/n,feminine,,legiw/nos
xoi=ros,masculine,,xoi/rou
*bhqsai+da/,feminine,3,
e)pisitismo/s,masculine,,e)pisitismou=
klisi/a,feminine,,klisi/as
kla/sma,neuter,3,kla/smatos
ko/finos,masculine,,kofi/nou
*samari/ths,masculine,,*samari/tou
a)lw/phc,feminine,,a)lw/pekos
fwleo/s,masculine,,fwleou=
kataskh/nwsis,feminine,,kataskhnw/sews
a)rh/n,masculine,,a)rno/s
lu/kos,masculine,,lu/kou
*xorazi/n,feminine,,*xorazi/n
lh|sth/s,masculine,,lh|stou=
sugkuri/a,feminine,,sugkuri/as
*leui/ths,masculine,,*leui/tou
trau=ma,neuter,3,trau/matos
pandoxei=on,neuter,,pandoxei/ou
pandoxeu/s,masculine,,pandoxe/ws
a)nai/deia,feminine,,a)naidei/as
w)|o/n,neuter,,w)|ou=
do/ma,neuter,3,do/matos
*beelzebou/l,masculine,,*beelzebou/l
diano/hma,neuter,3,dianoh/matos
sku=lon,neuter,2,sku/ou
*)iwna=s,masculine,3,
*nineui/ths,masculine,,*nineui/tou
pe/ras,neuter,3,pe/ratos
kru/pth,feminine,,kru/pths
mo/dios,masculine,,modi/ou
fe/ggos,neuter,,fe/ggous
e)lehmosu/nh,feminine,,e)lehmosu/nhs
h(du/osmon,neuter,,h(duo/smou
ph/ganon,neuter,,phga/nou
la/xanon,neuter,,laxa/nou
prwtokaqedri/a,feminine,,prwtokaqedri/as
tamei=on,neuter,,tamei/ou
meristh/s,masculine,,meristou=
ko/rac,masculine,,ko/rakos
kli/banos,masculine,,kliba/nou
oi)kono/mos,masculine,,oi)kono/mou
sitome/trion,neuter,,sitometri/ou
diamerismo/s,masculine,,diamerismou=
pra/ktwr,masculine,,pra/ktoros
o)feile/ths,masculine,,o)feile/tou
a)mpelourgo/s,masculine,,a)mpelourgou=
ko/prion,neuter,,kopri/ou
bou=s,masculine,,boo/s
ko/kkos,masculine,,ko/kkou
kla/dos,masculine,,kla/dou
sa/ton,neuter,,sa/tou
tro/pos,masculine,,tro/pou
nossia/,feminine,,nossia/s
prwtoklisi/a,feminine,,prwtoklisi/as
gei/twn,masculine,,gei/tonos
a)ntapo/doma,neuter,3,a)ntapodo/matos
r(u/mh,feminine,,r(u/mhs
dapa/nh,feminine,,dapa/nhs
a)partismo/s,masculine,,a)partismou=
presbei/a,feminine,,presbei/as
a(/las,neuter,3,a(/latos
draxmh/,feminine,,draxmh=s
gei/twn,feminine,,gei/tonos
limo/s,feminine,,limou=
poli/ths,masculine,,poli/tou
kera/tion,neuter,,kerati/ou
xoro/s,masculine,,xorou=
e)/rifos,masculine,,e)ri/fou
mamwna=s,masculine,3,
kerai/a,feminine,,kerai/as
*la/zaros,masculine,,*laza/rou
suka/minos,feminine,,sukami/nou
xrh=ma,neuter,3,xrh/matos
ai)=nos,masculine,,ai)/nou
*zakxai=os,masculine,,*zakxai/ou
sukomore/a,feminine,,sukomore/as
souda/rion,neuter,,soudari/ou
*bhqfagh/,feminine,,*bhqfagh=s
pw=los,masculine,,pw/lou
kata/basis,feminine,,kataba/sews
xa/rac,masculine,,xa/rakos
gewrgo/s,masculine,,gewrgou=
klhrono/mos,masculine,,klhrono/mou
e)pigrafh/,feminine,,e)pigrafh=s
*saddoukai=os,masculine,,*saddoukai/ou
u(popo/dion,neuter,,u(popodi/ou
pro/fasis,feminine,,profa/sews
a)na/qema,neuter,3,a)naqe/matos
loimo/s,masculine,,loimou=
fo/bhtron,neuter,,fobh/trou
strato/pedon,neuter,,stratope/dou
a)/stron,neuter,,a)/strou
a)pori/a,feminine,,a)pori/as
kraipa/lh,feminine,,kraipa/lhs
strathgo/s,masculine,,stratghou=
eu)kairi/a,feminine,,eu)kairi/as
a)na/gaion,neuter,,a)nagai/ou
a)na/mnhsis,feminine,,a)namnh/sews
eu)erge/ths,masculine,,eu)erge/tou
a)le/ktwr,masculine,,a)le/ktoros
bolh/,feminine,,bolh=s
a)gwni/a,feminine,,a)gwni/as
qro/mbos,masculine,,qro/mbou
e)sqh/s,feminine,3,e)sqh/tos
*barabba=s,masculine,3,*barabba=
ai)/thma,neuter,3,ai)th/matos
qewri/a,feminine,,qewri/as
sindw/n,feminine,,sindo/nos
a)/rwma,neuter,3,a)rw/matos
o)qo/nion,neuter,,o)qoni/ou
*kleopa=s,masculine,3,
kla/sis,feminine,,kla/sews
o)ste/on,neuter,,o)ste/ou
*swsqe/nhs,masculine,,*swsqe/nou
*ko/rinqos,feminine,,*kori/nqou
sxi/sma,neuter,3,sxi/smatos
*khfa=s,masculine,3,
*kri/spos,masculine,,*kri/spou
*ga/i+os,masculine,,*gai/+ou
*stefana=s,masculine,3,
u(peroxh/,feminine,,u(peroxh=s
a)po/deicis,feminine,,a)podei/cews
dia/konos,masculine,,diako/nou
e)/painos,masculine,,e)pai/nou
qe/atron,neuter,,qea/trou
perika/qarma,neuter,3,perkaqa/rmatos
paidagwgo/s,masculine,,paidagwgou=
mimhth/s,masculine,,mimhtou=
pleone/kths,masculine,,pleone/ktou
e)ntroph/,feminine,,e)ntroph=s
a)rsenokoi/ths,masculine,,a)rsenokoi/tou
me/los,neuter,,me/lous
o)feilh/,feminine,,o)feilh=s
suggnw/mh,feminine,,suggnw/mhs
a)/gamos,masculine,,a)ga/mou
a)/gamos,feminine,,a)ga/mou
th/rhsis,feminine,,thrh/sews
lu/sis,feminine,,lu/sews
sxh=ma,neuter,3,sxh/matos
bro/xos,masculine,,bro/xou
sunh/qeia,feminine,,sunhqei/as
ei)dwlei=on,neuter,,ei)dwlei/ou
kre/as,neuter,3,kre/ws
*barnaba=s,masculine,3,
e)gkoph/,feminine,,e)gkoph=s
sta/dion,neuter,,stadi/ou
brabei=on,neuter,,brabei/ou
po/ma,neuter,3,po/matos
tu/pos,masculine,,tu/pou
e)piqumhth/s,masculine,,e)piqumhtou=
nouqesi/a,feminine,,nouqesi/as
e)/kbasis,feminine,,e)kba/sews
ma/kellon,neuter,,make/llou
para/dosis,feminine,,parado/sews
diai/resis,feminine,,diaire/sews
e)ne/rghma,neuter,3,e)nergh/matos
fane/rwsis,feminine,,fanerw/sews
i)/ama,neuter,3,i)a/matos
dia/krisis,feminine,,diakri/sews
e(rmhnei/a,feminine,,e(rmhnei/as
eu)sxhmosu/nh,feminine,,eu)sxhmosu/nhs
a)nti/lhmyis,feminine,,a)ntilh/myews
u(perbolh/,feminine,,u(perbolh=s
ai)/nigma,neuter,3,ai)ni/gmatos
paramuqi/a,feminine,,paramuqi/as
diastolh/,feminine,,diastolh=s
fqo/ggos,masculine,,fqo/ggou
zhlwth/s,masculine,,zhlwtou=
frh/n,feminine,,freno/s
xei=los,neuter,,xei/lous
e)/ktrwma,neuter,3,e)ktrw/matos
yeudo/martus,masculine,,yeudoma/rturos
ta/gma,neuter,3,ta/gmatos
h)=qos,neuter,,h)/qous
a)gnwsi/a,feminine,,a)gnwsi/as
a)fqarsi/a,feminine,,a)fqarsi/as
r(iph/,feminine,,r(iph=s
a)qanasi/a,feminine,,a)qanasi/as
ni=kos,neuter,,ni/kous
pa/rodos,feminine,,paro/dou
*)aku/las,masculine,,*)aku/lou
*pri/ska,feminine,,*pri/skou
mara/na,masculine,3,
dw/rhma,neuter,3,
a)poski/asma,neuter,3,
r(upari/a,feminine,,r(upari/as
perissei/a,feminine,,perissei/as
poihth/s,masculine,,poihtou=
proswpolhmyi/a,feminine,,proswpolhmyi/as
paraba/ths,masculine,,paraba/tou
kath/feia,feminine,,kath/feias
a)tmi/s,feminine,,a)tmi/dos
*sabaw/q,masculine,,*sabaw/q
u(po/deigma,neuter,3,u(podei/gmatos
mnei/a,feminine,,mnei/as
*fi/lippoi,masculine,,*fili/ppwn
sumfule/ths,masculine,,sumfule/tou
*)aqh=nai,feminine,1,*)aqhnw=n
pa/qos,neuter,,pa/qous
ke/leusma,neuter,3,keleu/smatos
a)pa/nthsis,feminine,,a)panth/sews
w)di/n,feminine,,w)di/nos
perikefalai/a,feminine,,perikefalai/as
r(abbi/,masculine,,r(abbi/
*messi/as,masculine,,*messi/ou
*naqanah/l,masculine,,*naqanah/l
*)israhli/ths,masculine,,*)israhli/tou
metrhth/s,masculine,,metrhtou=
a)rxitri/klinos,masculine,,a)rxitrikli/nou
kermatisth/s,masculine,,kermatistou=
frage/llion,neuter,,fragelli/ou
sxoini/on,neuter,,sxoini/ou
kollubisth/s,masculine,,kollubistou=
ke/rma,neuter,3,ke/rmatos
*ai)nw/n,feminine,,*ai)nw/n
*suxa/r,feminine,,*suxa/r
a)/ntlhma,neuter,3,a)ntlh/matos
qre/mma,neuter,3,qre/mmatos
proskunhth/s,masculine,,proskunhtou=
te/ras,neuter,3,te/ratos
stoa/,feminine,,stoa=s
paida/rion,neuter,2,
o)ya/rion,neuter,,o)yari/ou
ploia/rion,neuter,,ploiari/ou
po/sis,feminine,,po/sews
*(ierosolumi/ths,masculine,,*(ierosolumi/tou
yeu/sths,masculine,,yeu/stou
prosai/ths,masculine,1,
qurwro/s,masculine,,qurwrou=
e)gkai/nia,neuter,2,e)gkaini/wn
summaqhth/s,masculine,,summaqhtou=
keiri/a,feminine,,keiri/ou
*)efrai/m,masculine,,*)efrai/m
li/tra,feminine,,li/tras
glwsso/komon,neuter,,glwssoko/mou
ba/i+on,neuter,,bai/+ou
u(pa/nthsis,feminine,,u(panth/sews
o)na/rion,neuter,,o)nari/ou
le/ntion,neuter,,le/ntiou
nipth/r,masculine,,nipth/ros
ywmi/on,neuter,,ywmi/ou
tekni/on,neuter,,tekn/iou
monh/,feminine,,monh=s
para/klhtos,masculine,,paraklh/tou
klh=ma,neuter,3,klh/matos
fano/s,masculine,,fa/nou
w)ta/rion,neuter,,w)tari/ou
qurwro/s,feminine,,qurwrou=
yu=xos,neuter,,yu/xous
r(a/pisma,neuter,3,r(api/smatos
praitw/rion,neuter,,praitwri/ou
kathgori/a,feminine,,kathgori/as
*gabbaqa,neuter,3,*gabbaqa
*golgoqa=,feminine,3,*golgoqa=
ti/tlos,masculine,,ti/tlou
*klwpa=s,masculine,3,
spo/ggos,masculine,,spo/ggou
ske/los,neuter,,ske/lous
lo/gxh,feminine,,lo/gxhs
mi/gma,neuter,3,mi/gmatos
rabbouni,masculine,,
h(=los,masculine,,h(/lou
ai)gialo/s,masculine,,ai)gialou=
prosfa/gion,neuter,,prosfagi/ou
e)pendu/ths,masculine,,e)pendu/tou
poi/hma,neuter,3,poih/matos
xrh=sis,feminine,,xrh/sews
a)ntimisqi/a,feminine,,a)ntimisqi/as
yiquristh/s,masculine,,yiquristou=
a)lazw/n,masculine,,a)lazo/nos
e)feureth/s,masculine,,e)feuretou=
sklhro/ths,feminine,,sklhro/tou
stenoxwri/a,feminine,,stenoxwri/as
paideuth/s,masculine,,paideutou=
mo/rfwsis,feminine,,morfw/sews
lo/gion,neuter,,logi/ou
yeu=sma,neuter,3,yeu/smatos
a)spi/s,feminine,,a)spi/dos
su/ntrimma,neuter,3,
e)/ndeicis,feminine,,e)ndei/cews
pa/resis,feminine,,pare/sews
propa/twr,masculine,,propa/toros
o)fei/lhma,neuter,3,o)feilh/matos
makarismo/s,masculine,,makarismou=
i)/xnos,neuter,,i)/xnous
ne/krwsis,feminine,,nekrw/sews
dikai/wsis,feminine,,dikaiw/sews
prosagwgh/,feminine,,prosagwgh=s
kata/krima,neuter,3,katakri/matos
kaino/ths,feminine,3,kaino/thtos
pa/qhma,neuter,3,paqh/matos
palaio/ths,feminine,3,palaio/thtos
fro/nhma,neuter,3,
abba,masculine,3,
a)pokaradoki/a,feminine,,a)pokaradoki/as
ki/ndunos,masculine,,kindu/nou
u(/ywma,neuter,3,u(yw/matos
*)hsau=,masculine,,*)hsau=
*(wshe/,masculine,,*(wshe/
u(po/leimma,neuter,3,
lei=mma,neuter,3,
qh/ra,feminine,,qh/ras
a)potomi/a,feminine,,a)potomi/as
kallie/laios,feminine,,kallielai/ou
pw/rwsis,feminine,,pwrw/sews
a)nalogi/a,feminine,,a)nalogi/as
i(laro/ths,feminine,3,i(laro/thtos
diatagh/,feminine,,diatagh=s
leitourgo/s,masculine,,leitourgou=
kw=mos,masculine,,kw/mou
a)se/lgeia,feminine,,a)selgei/as=
a)sqe/nhma,neuter,3,a)sqenh/matos
kli/ma,neuter,3,kli/matos
e)pipoqi/a,feminine,,e)pipoqi/as
*foi/bh,feminine,,*foi/bhs
dia/konos,feminine,,diako/nou
*kegxreai/,feminine,1,*kegxrew=n
*)epai/netos,masculine,,*)epaine/tou
*)andro/nikos,masculine,,*)andronik/ou
*)iouni/a,feminine,,*)iouni/as
sunaixma/lwtos,masculine,,sunaixmalw/tou
*)amplia=tos,masculine,,*)amplia/tou
*ou)rbano/s,masculine,,*ou)rbanou=
*sta/xus,masculine,,*sta/xuos
*)apellh=s,masculine,,*)apellou=
*(hrw|di/wn,masculine,,*(hrw|diw/nos
*tru/faina,feminine,,*trufai/nas
*trufw=sa,feminine,,*trufw/sas
*persi/s,feminine,,*persi/dos
*)asu/gkritos,masculine,,*)asugkri/tou
*fle/gwn,masculine,,*fle/gontos
*(ermh=s,masculine,,*(ermou=
*patroba=s,masculine,3,*patroba=
*(erma=s,masculine,3,*(erma=
*filo/logos,masculine,,*filolo/gou
*)iouli/a,feminine,,*)iouli/as
*nhreu/s,masculine,,*nhre/ws
*)olumpa=s,masculine,3,*)olumpa=
dixostasi/a,feminine,,dixostasi/as
*swsi/patros,masculine,2,
*te/rtios,masculine,2,
*)/erastos,masculine,,*)era/stou
e)/ndeigma,neuter,3,
