lemma,gender,declension,gs,gs_other
*(ieroso/luma,neuter,2.0,*(ierosolu/mwn,"*(ieroso/luma, *(ierosolu/mois, *(ierosolu/mwn"
mh/tra,feminine,1.0,mh/tras,
qusi/a,feminine,1.0,qusi/as,
zeu=gos,neuter,3.0,zeu/gous,"zeu=gos, zeu/gh"
trugw/n,feminine,3.0,trugo/nos,trugo/nwn
nosso/s,masculine,2.0,nossou=,nossou/s
peristera/,feminine,1.0,peristera=s,"peristerw=n, peristera/n, peristera/s, peristerai/"
para/klhsis,feminine,3.0,paraklh/sews,
goneu/s,masculine,3.0,gone/ws,"gonei=s, gone/wn, goneu=si(n)"
a)gka/lh,feminine,1.0,a)gka/lhs,a)gka/las
ptw=sis,feminine,3.0,ptw/sews,
dialogismo/s,masculine,2.0,dialogismou=,
*(/anna,feminine,1.0,,
*fanouh/l,masculine,3.0,*fanouh/l,
parqeni/a,feminine,1.0,parqeni/as,
nhstei/a,feminine,1.0,nhstei/as,
e(orth/,feminine,1.0,e(orth=s,
pa/sxa,neuter,3.0,pa/sxa,
sunodi/a,feminine,1.0,sunodi/as,sunodi/a|
dida/skalos,masculine,2.0,didaska/lou,"didaska/lwn, dida/skale, dida/skalon, didaska/lous, dida/skaloi"
su/nesis,feminine,3.0,sune/sews,
a)po/krisis,feminine,3.0,a)pokri/sews,"a)pokri/sesi(n), a)pokri/sei, a)po/krisin"
h(liki/a,feminine,1.0,h(liki/as,
h(gemoni/a,feminine,1.0,h(gemoni/as,
*tibe/rios,masculine,2.0,*tiberi/ou,
*po/ntios,masculine,2.0,*ponti/ou,
*pila=tos,masculine,2.0,*pila/tou,
*fi/lippos,masculine,2.0,*fili/ppou,
*lusani/as,masculine,1.0,*lusani/ou,
*)abilhnh/,feminine,1.0,*)abilhnh=s,
a)rxiereu/s,masculine,3.0,a)rxiere/ws,
*(/annas,masculine,1.0,*(/anna,
*kai+a/fas,masculine,1.0,*kai+a/fa,
*)iorda/nhs,masculine,1.0,*)iorda/nou,
ba/ptisma,neuter,3.0,bapti/smatos,
meta/noia,feminine,1.0,metanoi/as,
*)hsai/+as,masculine,1.0,*)hsai/+ou,
tri/bos,feminine,2.0,tri/bou,tri/bous
fa/ragc,feminine,3.0,,
bouno/s,masculine,2.0,bounou=,bounoi=s
ge/nnhma,neuter,3.0,gennh/matos,gennh/mata
e)/xidna,feminine,1.0,e)xi/dnas,e)xidnw=n
a)ci/nh,feminine,1.0,,
xitw/n,masculine,3.0,xitw=no/s,
brw=ma,neuter,3.0,brw/matos,
telw/nhs,masculine,1.0,telw/nou,"telw=nai, telw/nhn, telwnw=n"
o)yw/nion,neuter,2.0,o)qwni/ou,"o)ywni/ois, o)yw/nia, o)yw/nion"
i(ma/s,masculine,3.0,i(ma/ntos,"i(ma/nta, i(ma=si(n)"
u(po/dhma,neuter,3.0,u(podh/matos,
ptu/on,neuter,2.0,,
a(/lwn,feminine,3.0,a(/lwnos,
a)poqh/kh,feminine,1.0,a)poqh/khs,"a)poqh/khn, a)poqh/kas"
a)/xuron,neuter,2.0,a)xu/rou,
tetraa/rxhs,masculine,1.0,tetraa/rxou,
*(hrw|dia/s,feminine,3.0,*(hrw|dia/dos,
ei)=dos,neuter,3.0,ei)/dous,
*)hli/,masculine,3.0,*)hli/,
*maqqa/t,masculine,3.0,*maqqa/t,
*melxi/,masculine,3.0,*melxi/,
*)iannai/,masculine,3.0,*)iannai/,
*mattaqi/as,masculine,1.0,*mattaqi/ou,
*)amw/s,masculine,3.0,*)amw/s,
*naou/m,masculine,3.0,*naou/m,
*(esli/,masculine,3.0,*(esli/,
*naggai/,masculine,3.0,*naggai/,
*ma/aq,masculine,3.0,*ma/aq,
*semei/+n,masculine,3.0,*semei/+n,
*)iwsh/x,masculine,3.0,*)iwsh/x,
*)iwda/,masculine,3.0,*)iwda/,
*)iwana/n,masculine,3.0,*)iwana/n,
*(rhsa/,masculine,3.0,*(rhsa/,
*zorobabe/l,masculine,3.0,*zorobabe/l,
*salaqih/l,masculine,3.0,*salaqih/l,
*nhri/,masculine,3.0,*nhri/,
*)addi/,masculine,3.0,*)addi/,
*kwsa/m,masculine,3.0,*kwsa/m,
*)elmada/m,masculine,3.0,*)elmada/m,
*)/hr,masculine,3.0,*)/hr,
*)elie/zer,masculine,3.0,*)elie/zer,
*)iwri/m,masculine,3.0,*)iwri/m,
*)iwna/m,masculine,3.0,*)iwna/m,
*)eliaki/m,masculine,3.0,*)eliaki/m,
*melea/,masculine,3.0,*melea/,
*menna/,masculine,3.0,*menna/,
*mattaqa/,masculine,3.0,*mattaqa/,
*naqa/m,masculine,3.0,*naqa/m,
*)iessai/,masculine,3.0,*)iessai/,
*)iwbh/l,masculine,3.0,*)iwbh/l,
*bo/os,masculine,3.0,*bo/os,
*sala/,masculine,3.0,*sala/,
*naassw/n,masculine,3.0,*naassw/n,
*)aminada/b,masculine,3.0,*)aminada/b,
*)admi/n,masculine,3.0,*)admi/n,
*)arni/,masculine,3.0,*)arni/,
*(esrw/m,masculine,3.0,*(esrw/m,
*fare/s,masculine,3.0,*fare/s,
*)isaa/k,masculine,3.0,*)isaa/k,
*qa/ra,masculine,3.0,*qa/ra,
*naxw/r,masculine,3.0,*naxw/r,
*serou/x,masculine,3.0,*serou/x,
*(ragau/,masculine,3.0,*(ragau/,
*fa/lek,masculine,3.0,*fa/lek,
*)/eber,masculine,3.0,*)/eber,
*kai+na/m,masculine,3.0,*kai+na/m,
*)arfaca/d,masculine,3.0,*)arfaca/d,
*sh/m,masculine,3.0,*sh/m,
*nw=e,masculine,3.0,*nw=e,
*la/mex,masculine,3.0,*la/mex,
*maqousala/,masculine,3.0,*maqousala/,
*(enw/x,masculine,3.0,*(enw/x,
*)ia/ret,masculine,3.0,*)ia/ret,
*maleleh/l,masculine,3.0,*maleleh/l,
*)enw/s,masculine,3.0,*)enw/s,
*sh/q,masculine,3.0,*sh/q,
*)ada/m,masculine,3.0,*)ada/m,
a)/rtos,masculine,2.0,a)/rtou,
stigmh/,feminine,1.0,stigmh=s,stigmh=|
pteru/gion,neuter,2.0,pterugi/ou,
fh/mh,feminine,1.0,,
*nazara/,feminine,3.0,*nazara/,*nazara/
sa/bbaton,neuter,2.0,sabba/tou,
ai)xma/lwtos,masculine,2.0,ai)xmalw/tou,ai)xmalw/tois
a)na/bleyis,feminine,3.0,a)nable/yews,a)na/bleyin
grafh/,feminine,1.0,grafh=s,
parabolh/,feminine,1.0,parabolh=s,
i)atro/s,masculine,2.0,i)atrou=,
*kafarnaou/m,feminine,3.0,*kafarnaou/m,*kafarnaou/m
patri/s,feminine,3.0,patri/dos,"patri/di, patri/da"
a)lh/qeia,feminine,1.0,a)lhqei/as,
*sa/repta,neuter,3.0,*sa/repta,*sa/repta
*)elisai=os,masculine,2.0,*)elisai/ou,
*naima/n,masculine,3.0,,
*su/ros,masculine,2.0,,
o)fru=s,feminine,3.0,o)fru/os,
qa/mbos,neuter,3.0,qa/mbous,
h)=xos,masculine,3.0,h)/xous,
oi)ki/a,feminine,1.0,oi)ki/as,
*si/mwn,masculine,3.0,*si/mwnos,
penqera/,feminine,1.0,penqera=s,
pureto/s,masculine,2.0,puretou=,"puretw=|, puretoi=s"
no/sos,feminine,2.0,no/sou,
*gennhsare/t,feminine,3.0,*gennhsare/t,
a(lieu/s,masculine,3.0,a(lie/ws,a(liei=s
di/ktuon,neuter,2.0,diktu/ou,
ba/qos,neuter,3.0,ba/qous,
a)/gra,feminine,1.0,a)/gras,"a)/gran, a)/gra|"
e)pista/ths,masculine,1.0,e)pista/tou,e)pista/ta
i)xqu/s,masculine,3.0,i)xqu/os,
*pe/tros,masculine,2.0,*pe/trou,
go/nu,neuter,3.0,go/natos,"go/nasi(n), go/nata, go/nu"
*)ia/kwbos,masculine,2.0,*)iakw/bou,
*zebedai=os,masculine,2.0,*zebedai/ou,
koinwno/s,masculine,2.0,koinwnou=,"koinwnoi/, koinwnou/s, koinwno/n"
le/pra,feminine,1.0,le/pras,
a)sqe/neia,feminine,1.0,a)sqenei/as,
*farisai=os,masculine,2.0,*farisai/ou,
nomodida/skalos,masculine,2.0,nomodidaska/lou,nomodida/skaloi
kw/mh,feminine,1.0,kw/mhs,
dw=ma,neuter,3.0,dw/matos,
ke/ramos,masculine,2.0,kera/mou,
klini/dion,neuter,2.0,klinidi/ou,"klinidi/w|, klini/dion"
grammateu/s,masculine,3.0,grammate/ws,"grammatei=s, grammate/wn, grammateu=si(n)"
e)/kstasis,feminine,3.0,e)ksta/sews,
telw/nion,neuter,2.0,telwni/ou,telw/nion
doxh/,feminine,1.0,doxh=s,doxh/n
*leui/s,masculine,3.0,,
maqhth/s,masculine,1.0,maqhtou=,
numfw/n,masculine,3.0,numfw=nos,
e)pi/blhma,neuter,3.0,e)piblh/matos,e)pi/blhma
a)sko/s,masculine,2.0,a)skou=,
sta/xus,masculine,3.0,sta/xuos,"sta/xuas, sta/xun, sta/xui+"
pro/qesis,feminine,3.0,proqe/sews,
a)/noia,feminine,1.0,a)noi/as,
*)andre/as,masculine,1.0,*)andre/ou,
*barqolomai=os,masculine,2.0,*barqolomai/ou,*barqolomai=on
*maqqai=os,masculine,2.0,*maqqai/ou,*maqqai=on
*qwma=s,masculine,1.0,*qwma=,"*qwma=n, *qwma=|"
*(alfai=os,masculine,2.0,*(alfai/ou,
*zhlwth/s,masculine,1.0,*zhlw/tou,*zhlwth/n
*)iskariw/q,masculine,3.0,*)iskariw/q,*)iskariw/q
prodo/ths,masculine,1.0,prodo/tou,prodo/tai
*tu/ros,feminine,2.0,*tu/rou,
*sidw/n,feminine,3.0,*sidw=nos,
siagw/n,feminine,3.0,*siago/nos,
ko/lpos,masculine,2.0,ko/lpou,
bo/qunos,masculine,2.0,boqu/nou,
ka/rfos,neuter,3.0,ka/rfou,ka/rfos
doko/s,feminine,2.0,dokou=,doko/n
u(pokrith/s,masculine,1.0,u(pokritou=,"u(pokrita/, u(pokritai/, u(pokritw=n"
a)/kanqa,feminine,1.0,a)ka/nqhs,
su=kon,neuter,2.0,su/kou,
ba/tos,feminine,2.0,ba/tou,
qhsauro/s,masculine,2.0,qhsaurou=,
peri/sseuma,neuter,3.0,perisseu/matos,
plh/mmura,feminine,1.0,plhmmu/rhs,
r(h=gma,neuter,1.0,,
a)koh/,feminine,1.0,a)koh=s,
e(katonta/rxhs,masculine,1.0,e(katonta/rxou,
ste/gh,feminine,1.0,ste/ghs,ste/ghn
stratiw/ths,masculine,1.0,stratiw/tou,"stratiw/tas, stratiw=tai, stratiw/th|, stratiwtw=n, stratiw/thn, stratiw/tais"
*nai/+n,feminine,3.0,*nai/+n,*nai/+n
pu/lh,feminine,1.0,pu/lhs,
soro/s,feminine,2.0,sorou=,
neani/skos,masculine,2.0,neani/skou,"neani/ske, neani/skoi, neani/skon"
baptisth/s,masculine,1.0,baptistou=,
ma/stic,feminine,3.0,ma/stigos,
i(matismo/s,masculine,2.0,i(matismou=,
trufh/,feminine,1.0,trufh=s,
boulh/,feminine,1.0,boulh=s,
a)gora/,feminine,1.0,a)gora=s,
fa/gos,masculine,2.0,,
oi)nopo/ths,masculine,1.0,,
a)la/bastron,neuter,2.0,a)laba/strou,a)la/bastron
xreofeile/ths,masculine,1.0,xreofeile/tou,"xreofeile/tai, xreofeiletw=n"
danisth/s,masculine,1.0,danistou=,danisth=|
fi/lhma,neuter,3.0,filh/matos,"fi/lhma, filh/mati"
*magdalhnh/,feminine,1.0,*magdalhnh=s,*magdalhnh=|
*)iwa/nna,feminine,1.0,,
*xouza=s,masculine,3.0,*xouza=,
e)pi/tropos,masculine,2.0,e)pitro/pou,
*sousa/nna,feminine,1.0,,
spo/ros,masculine,2.0,spo/rou,
i)kma/s,feminine,3.0,i)kma/dos,i)kma/da
me/rimna,feminine,1.0,meri/mnhs,
h(donh/,feminine,1.0,h(donh=s,
bi/os,masculine,2.0,bi/ou,
lai=lay,feminine,3.0,lai/lapos,
klu/dwn,masculine,3.0,klu/dwnos,
galh/nh,feminine,3.0,,
pe/dh,feminine,1.0,pe/dhs,"pe/dais, pe/das"
desmo/n,neuter,2.0,desmou=,desma/
legiw/n,feminine,3.0,legiw/nos,"legiw=na, legiw=nas"
a)ge/lh,feminine,1.0,a)ge/lhs,
xoi=ros,masculine,2.0,xoi/rou,"xoi/rwn, xoi/rous, xoi=roi"
krhmno/s,masculine,2.0,krhmnou=,
a)gro/s,masculine,2.0,a)grou=,
*)ia/i+ros,masculine,2.0,,
r(u/sis,feminine,3.0,r(u/sews,
kra/spedon,neuter,2.0,kraspe/dou,
ai)ti/a,feminine,1.0,ai)ti/as,
a)rxisuna/gwgos,masculine,2.0,a)rxisunagw/gou,
pai=s,feminine,3.0,paido/s,
ph/ra,feminine,1.0,ph/ras,
a)rgu/rion,neuter,2.0,a)rguri/ou,
koniorto/s,masculine,2.0,koniortou=,
*bhqsai+da/,feminine,3.0,*bhqsai+da/,
e)pisitismo/s,masculine,2.0,e)pisitismou=,e)pisitismo/n
klisi/a,feminine,1.0,klisi/as,klisi/as
kla/sma,neuter,3.0,kla/smatos,"klasma/twn, kla/smata"
ko/finos,masculine,2.0,kofi/nou,"ko/finoi, kofi/nous, kofi/nwn"
stauro/s,masculine,2.0,staurou=,
e)/codos,feminine,2.0,e)co/dou,
u(/pnos,masculine,2.0,u(/pnou,
a)fro/s,masculine,2.0,a)frou=,
megaleio/ths,feminine,3.0,megaleio/thtos,
a)na/lhmyis,feminine,3.0,a)nalh/myews,
*samari/ths,masculine,1.0,*samari/tou,"*samaritw=n, *samari/tais, *samari=tai"
a)lw/phc,feminine,3.0,a)lw/pekos,"a)lw/pekes, a)lw/peki"
fwleo/s,masculine,2.0,fwleou=,fwleou/s
kataskh/nwsis,feminine,3.0,kataskhnw/sews,kataskhnw/seis
a)/rotron,neuter,2.0,a)ro/trou,
e)rga/ths,masculine,1.0,e)rga/tou,
a)rh/n,masculine,3.0,a)rno/s,a)/rnas
lu/kos,masculine,2.0,lu/kou,"lu/kwn, lu/kon, lu/koi"
balla/ntion,neuter,2.0,ballanti/ou,
*xorazi/n,feminine,3.0,*xorazi/n,*xorazi/n
spodo/s,feminine,2.0,spodou=,
*)ierixw/,feminine,3.0,*)ierixw/,
lh|sth/s,masculine,1.0,lh|stou=,"lh|stai=s, lh|sta/s, lh|stw=n, lh|sth/n, lh|stai/"
sugkuri/a,feminine,1.0,sugkuri/as,sugkuri/an
*leui/ths,masculine,1.0,*leui/tou,*leui/tas
trau=ma,neuter,3.0,trau/matos,trau/mata
pandoxei=on,neuter,2.0,pandoxei/ou,pandoxei=on
pandoxeu/s,masculine,3.0,pandoxe/ws,pandoxei=
*ma/rqa,feminine,1.0,*ma/rqas,
a)delfh/,feminine,1.0,a)delfh=s,
meri/s,feminine,3.0,meri/dos,
mesonu/ktion,neuter,2.0,mesonukti/ou,
koi/th,feminine,1.0,koi/ths,
a)nai/deia,feminine,1.0,a)naidei/as,a)nai/deian
w)|o/n,neuter,2.0,w)|ou=,w)|o/n
do/ma,neuter,3.0,do/matos,"do/mata, do/ma"
*beelzebou/l,masculine,3.0,*beelzebou/l,*beelzebou/l
diano/hma,neuter,3.0,dianoh/matos,dianoh/mata
krith/s,masculine,1.0,kritou=,
da/ktulos,masculine,2.0,daktu/lou,
panopli/a,feminine,1.0,panopli/as,
sku=lon,neuter,2.0,sku/ou,sku=la
*)iwna=s,masculine,3.0,*)iwna=,
*nineui/ths,masculine,1.0,*nineui/tou,"*nineui/tais, *nineui=tai"
pe/ras,neuter,3.0,pe/ratos,"pera/twn, pe/rata"
*solomw/n,masculine,3.0,*solomw=nos,
kh/rugma,neuter,3.0,khru/gmatos,
kru/pth,feminine,1.0,kru/pths,kru/pthn
mo/dios,masculine,2.0,modi/ou,mo/dion
fe/ggos,neuter,3.0,fe/ggous,fe/ggos
a)/riston,neuter,2.0,a)ri/stou,
pi/nac,masculine,3.0,pi/nakos,
a(rpagh/,feminine,1.0,a(rpagh=s,
ponhri/a,feminine,1.0,ponhri/as,
e)lehmosu/nh,feminine,1.0,e)lehmosu/nhs,"e)lehmosu/nhn, e)lehmosunw=n, e)lehmosu/nas, e)lehmosu/nai"
h(du/osmon,neuter,2.0,h(duo/smou,h(du/osmon
ph/ganon,neuter,2.0,phga/nou,ph/ganon
la/xanon,neuter,2.0,laxa/nou,"la/xanon, la/xana, laxa/nwn"
prwtokaqedri/a,feminine,1.0,prwtokaqedri/as,"prwtokaqedri/an, prwtokaqedri/as"
mnhmei=on,neuter,2.0,mnhmei/ou,
forti/on,neuter,2.0,forti/ou,
*(/abel,masculine,3.0,*(/abel,
zu/mh,feminine,1.0,zu/mhs,
u(po/krisis,feminine,3.0,u(pokri/sews,
skoti/a,feminine,1.0,skoti/as,
tamei=on,neuter,2.0,tamei/ou,"tamei/ois, tamei=on"
ge/enna,feminine,1.0,gee/nnhs,
strouqi/on,neuter,2.0,strouqi/ou,
a)ssa/rion,neuter,2.0,a)ssari/ou,
klhronomi/a,feminine,1.0,klhronomi/as,
meristh/s,masculine,1.0,meristou=,meristh/n
pleoneci/a,feminine,1.0,pleoneci/as,
trofh/,feminine,1.0,trofh=s,
e)/nduma,neuter,3.0,e)ndu/matos,
ko/rac,masculine,3.0,ko/rakos,ko/rakas
kri/non,neuter,2.0,kri/nou,
kli/banos,masculine,2.0,kliba/nou,kli/banon
poi/mnion,neuter,2.0,poimni/ou,
sh/s,masculine,1.0,,
o)sfu/s,feminine,3.0,o)sfu/os,
oi)kodespo/ths,masculine,1.0,oi)kodespo/tou,
oi)kono/mos,masculine,2.0,oi)kono/mou,"oi)kono/mon, oi)kono/mous, oi)kono/mois, oi)kono/moi"
sitome/trion,neuter,2.0,sitometri/ou,sitome/trion
paidi/skh,feminine,1.0,paidi/skhs,
diamerismo/s,masculine,2.0,diamerismou=,diamerismo/n
o)/mbros,masculine,2.0,,
kau/swn,masculine,3.0,kau/swnos,
a)nti/dikos,masculine,2.0,a)ntidi/kou,
e)rgasi/a,feminine,1.0,e)rgasi/as,
pra/ktwr,masculine,3.0,pra/ktoros,pra/ktori
pu/rgos,masculine,2.0,pu/rgou,
*silwa/m,masculine,3.0,*silwa/m,
o)feile/ths,masculine,1.0,o)feile/tou,"o)feile/tai, o)feile/tais"
a)mpelw/n,masculine,3.0,a)mpelw=nos,
a)mpelourgo/s,masculine,2.0,a)mpelourgou=,a)mpelourgo/n
ko/prion,neuter,2.0,kopri/ou,ko/pria
bou=s,masculine,3.0,boo/s,"bou=n, bow=n, bo/as"
o)/nos,masculine,2.0,o)/nou,
desmo/s,masculine,2.0,desmou=,
ko/kkos,masculine,2.0,ko/kkou,"ko/kkw|, ko/kkon"
si/napi,neuter,3.0,sina/pews,
kh=pos,masculine,2.0,kh/pou,
kla/dos,masculine,2.0,kla/dou,"kla/dois, kla/doi, kla/dwn, kla/dous"
a)/leuron,neuter,2.0,a)leu/rou,
sa/ton,neuter,2.0,sa/tou,sa/ta
porei/a,feminine,1.0,porei/as,
a)diki/a,feminine,1.0,a)diki/as,
klauqmo/s,masculine,2.0,,
brugmo/s,masculine,2.0,,
i)/asis,feminine,3.0,i)a/sews,
tro/pos,masculine,2.0,tro/pou,"tro/pon, tro/pw|"
o)/rnis,feminine,3.0,,
nossia/,feminine,1.0,nossia/s,nossia/n
prwtoklisi/a,feminine,1.0,prwtoklisi/as,"prwtoklisi/as, prwtoklisi/an"
gei/twn,masculine,3.0,gei/tonos,"gei/tonas, gei/tones"
a)ntapo/doma,neuter,3.0,a)ntapodo/matos,a)ntapo/doma
a)na/gkh,feminine,1.0,a)na/gkhs,
r(u/mh,feminine,1.0,r(u/mhs,"r(u/mas, r(u/mhn, r(u/mais"
fragmo/s,masculine,2.0,fragmou=,
dapa/nh,feminine,1.0,dapa/nhs,dapa/nhn
a)partismo/s,masculine,2.0,a)partismou=,a)partismo/n
presbei/a,feminine,1.0,presbei/as,presbei/an
a(/las,neuter,3.0,a(/latos,"a(/la, a(/lati"
kopri/a,feminine,1.0,kopri/as,
w)=mos,masculine,2.0,w)/mou,
draxmh/,feminine,1.0,draxmh=s,"draxma/s, draxmh/n"
gei/twn,feminine,3.0,gei/tonos,"gei/tonas, gei/tones"
ou)si/a,feminine,1.0,ou)si/as,
limo/s,feminine,2.0,limou=,"limw=|, limoi/, limo/n"
poli/ths,masculine,1.0,poli/tou,"politw=n, poli=tai, poli/thn"
kera/tion,neuter,2.0,kerati/ou,kerati/wn
tra/xhlos,masculine,2.0,traxh/lou,
daktu/lios,masculine,2.0,daktuli/ou,
sumfwni/a,feminine,1.0,sumfwni/as,
xoro/s,masculine,2.0,xorou=,xorw=n
e)/rifos,masculine,2.0,e)ri/fou,"e)/rifon, e)ri/fwn"
oi)konomi/a,feminine,1.0,oi)konomi/as,
ba/tos,masculine,2.0,ba/tou,
gra/mma,neuter,3.0,gra/mmatos,
ko/ros,masculine,2.0,ko/rou,
mamwna=s,masculine,3.0,mamwna=,
oi)ke/ths,masculine,1.0,oi)ke/tou,
kerai/a,feminine,1.0,kerai/as,kerai/an
bu/ssos,feminine,2.0,bu/ssou,
*la/zaros,masculine,2.0,*laza/rou,"*la/zaron, *la/zare"
tra/peza,feminine,1.0,trape/zhs,
ba/sanos,feminine,2.0,basa/nou,
a)/kron,neuter,2.0,a)/krou,
xa/sma,neuter,1.0,,
suka/minos,feminine,2.0,sukami/nou,sukami/nw|
*sama/reia,feminine,1.0,*samarei/as,
parath/rhsis,feminine,3.0,parathrh/sews,
kataklusmo/s,masculine,2.0,kataklusmou=,
*lw/t,masculine,3.0,*lw/t,
e)kdi/khsis,feminine,3.0,e)kdikh/sews,
moixo/s,masculine,2.0,moixou=,
neo/ths,feminine,3.0,neo/thtos,
xrh=ma,neuter,3.0,xrh/matos,"xrh/mata, xrh=ma, xrhma/twn"
ka/mhlos,feminine,2.0,kamh/lou,
trh=ma,neuter,3.0,trh/matos,
belo/nh,feminine,1.0,belo/nhs,
*nazwrai=os,masculine,2.0,*nazwrai/ou,
ai)=nos,masculine,2.0,ai)/nou,ai)=non
*zakxai=os,masculine,2.0,*zakxai/ou,*zakxai=e
a)rxitelw/nhs,masculine,1.0,,
sukomore/a,feminine,1.0,sukomore/as,sukomore/an
mna=,feminine,1.0,mna=s,
souda/rion,neuter,2.0,soudari/ou,"soudari/w|, souda/rion, souda/ria"
to/kos,masculine,2.0,to/kou,
*bhqfagh/,feminine,1.0,*bhqfagh=s,*bhqfagh/
*bhqani/a,feminine,1.0,*bhqani/as,
pw=los,masculine,2.0,pw/lou,pw=lon
kata/basis,feminine,3.0,kataba/sews,kataba/sei
xa/rac,masculine,3.0,xa/rakos,xa/raka
e)piskoph/,feminine,1.0,e)piskoph=s,
gewrgo/s,masculine,2.0,gewrgou=,"gewrgoi=s, gewrgou/s, gewrgoi/, gewrgw=n, gewrgo/n"
klhrono/mos,masculine,2.0,klhrono/mou,"klhrono/mous, klhrono/mon, klhrono/moi, klhrono/mois"
h(gemw/n,masculine,3.0,h(gemo/nos,
fo/ros,masculine,2.0,fo/rou,
panourgi/a,feminine,1.0,panourgi/as,
e)pigrafh/,feminine,1.0,e)pigrafh=s,e)pigrafh/n
*saddoukai=os,masculine,2.0,*saddoukai/ou,"*saddoukai/wn, *saddoukai=oi, *saddoukai/ous"
yalmo/s,masculine,2.0,yalmou=,
u(popo/dion,neuter,2.0,u(popodi/ou,u(popo/dion
pro/fasis,feminine,3.0,profa/sews,"profa/sei, pro/fasin"
gazofula/kion,neuter,2.0,gazofulaki/ou,
u(ste/rhma,neuter,3.0,u(sterh/matos,
a)na/qema,neuter,3.0,a)naqe/matos,"a)naqh/masi(n), a)naqe/mati"
a)katastasi/a,feminine,1.0,a)katastasi/as,
loimo/s,masculine,2.0,loimou=,loimoi/
fo/bhtron,neuter,2.0,fobh/trou,fo/bhtra
strato/pedon,neuter,2.0,stratope/dou,stratope/dwn
e)rh/mwsis,feminine,3.0,e)rhmw/sews,
a)/stron,neuter,2.0,a)/strou,"a)/strois, a)/stron, a)/strwn, a)/stra"
sunoxh/,feminine,1.0,sunoxh=s,
a)pori/a,feminine,1.0,a)pori/as,a)pori/a|
h)=xos,neuter,3.0,h)/xous,
sa/los,masculine,2.0,sa/lou,
prosdoki/a,feminine,1.0,prosdoki/as,
a)polu/trwsis,feminine,3.0,a)polutrw/sews,
qe/ros,neuter,3.0,,
kraipa/lh,feminine,1.0,kraipa/lhs,kraipa/lh|
me/qh,feminine,1.0,me/qhs,
pagi/s,feminine,3.0,pagi/dos,
*)iskariw/ths,masculine,1.0,*)iskariw/tou,
strathgo/s,masculine,2.0,stratghou=,"strathgoi=s, strathgou/s, strathgoi/"
eu)kairi/a,feminine,1.0,eu)kairi/as,eu)kairi/an
kera/mion,neuter,2.0,kerami/ou,
a)na/gaion,neuter,2.0,a)nagai/ou,a)na/gaion
ge/nhma,neuter,3.0,genh/matos,
a)na/mnhsis,feminine,3.0,a)namnh/sews,a)na/mnhsin
filoneiki/a,feminine,1.0,,
eu)erge/ths,masculine,1.0,eu)erge/tou,eu)erge/tai
a)le/ktwr,masculine,3.0,a)le/ktoros,a)le/ktora
bolh/,feminine,1.0,bolh=s,bolh/n
a)gwni/a,feminine,1.0,a)gwni/as,a)gwni/a|
i(drw/s,masculine,3.0,,
qro/mbos,masculine,2.0,qro/mbou,qro/mboi
lu/ph,feminine,1.0,lu/phs,
w)ti/on,neuter,2.0,w)ti/ou,
presbute/rion,neuter,2.0,presbuteri/ou,
sune/drion,neuter,2.0,sunedri/ou,
e)sqh/s,feminine,3.0,e)sqh/tos,"e)sqh=ta, e)sqh=ti, e)sqh/sesi(n)"
e)/xqra,feminine,1.0,e)/xqras,
*barabba=s,masculine,3.0,*barabba=,*barabba=n
sta/sis,feminine,3.0,sta/sews,
ai)/thma,neuter,3.0,ai)th/matos,"ai)/thma, ai)th/mata"
*kurhnai=os,masculine,2.0,*kurhnai/ou,
krani/on,neuter,2.0,krani/ou,
klh=ros,masculine,2.0,klh/rou,
o)/cos,neuter,3.0,o)/cous,
katape/tasma,neuter,3.0,katapeta/smatos,
qewri/a,feminine,1.0,qewri/as,qewri/an
bouleuth/s,masculine,1.0,,
pra=cis,feminine,3.0,pra/cews,
*(arimaqai/a,feminine,1.0,*(arimaqai/as,
