lemma,gender,declension,gs,gs_other
sindw/n,feminine,3.0,sindo/nos,"sindo/ni, sindo/na"
paraskeuh/,feminine,1.0,paraskeuh=s,
a)/rwma,neuter,3.0,a)rw/matos,"a)rw/mata, a)rwma/twn"
o)/rqros,masculine,2.0,o)/rqrou,
lh=ros,masculine,2.0,,
o)qo/nion,neuter,2.0,o)qoni/ou,"o)qo/nia, o)qoni/ois, o)qoni/wn"
*)emmaou=s,feminine,3.0,,
*kleopa=s,masculine,3.0,,
e(spe/ra,feminine,1.0,e(spe/ras,
kla/sis,feminine,3.0,kla/sews,kla/sei
o)ste/on,neuter,2.0,o)ste/ou,"o)ste/a, o)ste/wn"
e)paggeli/a,feminine,1.0,e)paggeli/as,
*pau=los,masculine,2.0,*pau/lou,
*swsqe/nhs,masculine,1.0,*swsqe/nou,*swsqe/nhn
*ko/rinqos,feminine,2.0,*kori/nqou,"*kori/nqw|, *ko/rinqon"
xa/risma,neuter,3.0,xari/smatos,
koinwni/a,feminine,1.0,koinwni/as,
sxi/sma,neuter,3.0,sxi/smatos,sxi/smata
*xlo/h,feminine,1.0,*xlo/hs,
e)/ris,feminine,3.0,e)/ridos,
*)apollw=s,masculine,3.0,*)apollw=,
*khfa=s,masculine,3.0,*khfa=,
*kri/spos,masculine,2.0,*kri/spou,*kri/spon
*ga/i+os,masculine,2.0,*gai/+ou,"*ga/i+on, *gai/+w|"
*stefana=s,masculine,3.0,*stefana=,
mwri/a,feminine,1.0,mwri/as,
suzhthth/s,masculine,1.0,,
*(/ellhn,masculine,3.0,*(/ellhnos,
klh=sis,feminine,3.0,klh/sews,
a(giasmo/s,masculine,2.0,a(giasmou=,
u(peroxh/,feminine,1.0,u(peroxh=s,"u(peroxh/n, u(peroxh=|"
tro/mos,masculine,2.0,tro/mou,
a)po/deicis,feminine,3.0,a)podei/cews,a)podei/cei
ga/la,neuter,3.0,ga/laktos,
zh=los,masculine,2.0,zh/lou,
dia/konos,masculine,2.0,diako/nou,"dia/konoi, diako/nois, dia/konon, diako/nous"
gew/rgion,neuter,2.0,,
oi)kodomh/,feminine,1.0,oi)kodomh=s,
a)rxite/ktwn,masculine,3.0,,
kala/mh,feminine,1.0,kala/mhs,
e)/painos,masculine,2.0,e)pai/nou,e)/painon
qe/atron,neuter,2.0,qea/trou,qe/atron
perika/qarma,neuter,3.0,perkaqa/rmatos,perikaqa/rmata
peri/yhma,neuter,1.0,,
paidagwgo/s,masculine,2.0,paidagwgou=,"paidagwgou/s, paidagwgo/n"
mimhth/s,masculine,1.0,mimhtou=,mimhtai/
*timo/qeos,masculine,2.0,*timoqe/ou,
prau/+ths,feminine,3.0,prau/+thtos,
o)/leqros,masculine,2.0,o)le/qrou,
kau/xhma,neuter,3.0,kauxh/matos,
fu/rama,neuter,3.0,fura/matos,
kaki/a,feminine,1.0,kaki/as,
ei)likri/neia,feminine,1.0,ei)likrinei/as,
e)pistolh/,feminine,1.0,e)pistolh=s,
pleone/kths,masculine,1.0,pleone/ktou,"pleone/ktais, pleone/ktai"
loi/doros,masculine,2.0,loido/rou,
me/qusos,masculine,2.0,mequ/sou,
krith/rion,neuter,2.0,krithri/ou,
e)ntroph/,feminine,1.0,e)ntroph=s,e)ntroph/n
h(/tthma,neuter,1.0,,
a)rsenokoi/ths,masculine,1.0,a)rsenokoi/tou,"a)rsenokoi=tai, a)rsenokoi/tais"
me/los,neuter,3.0,me/lous,"me/lh, me/lesi(n), melw=n"
a(ma/rthma,neuter,3.0,a(marth/matos,
o)feilh/,feminine,1.0,o)feilh=s,"o)feilh/n, o)feila/s"
a)krasi/a,feminine,1.0,a)krasi/as,
suggnw/mh,feminine,1.0,suggnw/mhs,suggnw/mhn
e)pitagh/,feminine,1.0,e)pitagh=s,
a)/gamos,masculine,2.0,a)ga/mou,a)ga/mois
a)/gamos,feminine,2.0,a)ga/mou,a)ga/mois
a)krobusti/a,feminine,1.0,a)krobusti/as,
peritomh/,feminine,1.0,peritomh=s,
th/rhsis,feminine,3.0,thrh/sews,"th/rhsin, thrh/sei"
lu/sis,feminine,3.0,lu/sews,lu/sin
sxh=ma,neuter,3.0,sxh/matos,sxh/mati
bro/xos,masculine,2.0,bro/xou,bro/xon
brw=sis,feminine,3.0,brw/sews,
sunh/qeia,feminine,1.0,sunhqei/as,"sunhqei/a|, sunh/qeian"
sunei/dhsis,feminine,3.0,suneidh/sews,
pro/skomma,neuter,3.0,prosko/mmatos,
ei)dwlei=on,neuter,2.0,ei)dwlei/ou,ei)dwlei/w|
kre/as,neuter,3.0,kre/ws,kre/a
a)postolh/,feminine,1.0,a)postolh=s,
a)pologi/a,feminine,1.0,a)pologi/as,
*barnaba=s,masculine,3.0,*barnaba=,
e)lpi/s,feminine,3.0,e)lpi/dos,
e)gkoph/,feminine,1.0,e)gkoph=s,e)gkoph/n
sta/dion,neuter,2.0,stadi/ou,stadi/w|
brabei=on,neuter,2.0,brabei/ou,brabei=on
po/ma,neuter,3.0,po/matos,"po/ma, po/masi(n)"
tu/pos,masculine,2.0,tu/pou,"tu/poi, tu/pon, tu/pous"
e)piqumhth/s,masculine,1.0,e)piqumhtou=,e)piqumhta/s
o)loqreuth/s,masculine,1.0,o)loqreutou=,
nouqesi/a,feminine,1.0,nouqesi/as,"nouqesi/an, nouqesi/a|"
e)/kbasis,feminine,3.0,e)kba/sews,e)/kbasin
ei)dwlolatri/a,feminine,1.0,ei)dwlolatri/as,
ma/kellon,neuter,2.0,make/llou,make/llw|
plh/rwma,neuter,3.0,plhrw/matos,
e)leuqeri/a,feminine,1.0,e)leuqeri/as,
para/dosis,feminine,3.0,parado/sews,"parado/seis, para/dosin, parado/sei, parado/sewn"
fu/sis,feminine,3.0,fu/sews,
a)timi/a,feminine,1.0,a)timi/as,
ko/mh,feminine,1.0,,
peribo/laion,neuter,2.0,peribolai/ou,
ai(/resis,feminine,3.0,ai(re/sews,
diai/resis,feminine,3.0,diaire/sews,diaire/seis
e)ne/rghma,neuter,3.0,e)nergh/matos,"e)nerghma/twn, e)nergh/mata"
fane/rwsis,feminine,3.0,fanerw/sews,fanerw/sei
i)/ama,neuter,3.0,i)a/matos,i)ama/twn
dia/krisis,feminine,3.0,diakri/sews,"diakri/seis, dia/krisin"
e(rmhnei/a,feminine,1.0,e(rmhnei/as,e(rmhnei/an
o)/sfrhsis,feminine,3.0,,
eu)sxhmosu/nh,feminine,1.0,eu)sxhmosu/nhs,eu)sxhmosu/nhn
a)nti/lhmyis,feminine,3.0,a)ntilh/myews,a)ntilh/myeis
kube/rnhsis,feminine,3.0,kubernh/sews,
u(perbolh/,feminine,1.0,u(perbolh=s,"u(perbolh/n, u(perbolh=|"
ku/mbalon,neuter,2.0,,
e)/soptron,neuter,2.0,e)so/ptrou,
ai)/nigma,neuter,3.0,ai)ni/gmatos,ai)ni/gmati
paramuqi/a,feminine,1.0,paramuqi/as,paramuqi/an
au)lo/s,masculine,2.0,,
diastolh/,feminine,1.0,diastolh=s,diastolh/n
fqo/ggos,masculine,2.0,fqo/ggou,fqo/ggois
zhlwth/s,masculine,1.0,zhlwtou=,"zhlwtai/, zhlwth/n"
i)diw/ths,masculine,1.0,i)diw/tou,
frh/n,feminine,3.0,freno/s,fresi/(n)
xei=los,neuter,3.0,xei/lous,"xei/lesi(n), xei/lh, xei=los, xeile/wn"
diermhneuth/s,masculine,1.0,,
e)/ktrwma,neuter,3.0,e)ktrw/matos,e)ktrw/mati
yeudo/martus,masculine,3.0,yeudoma/rturos,"yeudoma/rtures, yeudomartu/rwn"
ta/gma,neuter,3.0,ta/gmatos,ta/gmati
parousi/a,feminine,1.0,parousi/as,
kau/xhsis,feminine,3.0,kauxh/sews,
o)/felos,neuter,3.0,,
h)=qos,neuter,3.0,h)/qous,h)/qh
o(mili/a,feminine,1.0,o(mili/as,
a)gnwsi/a,feminine,1.0,a)gnwsi/as,a)gnwsi/an
fqora/,feminine,1.0,fqora=s,
a)fqarsi/a,feminine,1.0,a)fqarsi/as,"a)fqarsi/a|, a)fqarsi/an"
r(iph/,feminine,1.0,r(iph=s,r(iph=|
a)qanasi/a,feminine,1.0,a)qanasi/as,a)qanasi/an
ni=kos,neuter,3.0,ni/kous,ni=kos
logei/a,feminine,1.0,logei/as,
*galati/a,feminine,1.0,*galati/as,
*makedoni/a,feminine,1.0,*makedoni/as,
pa/rodos,feminine,2.0,paro/dou,paro/dw|
penthkosth/,feminine,1.0,penthkosth=s,
*)axai/+a,feminine,1.0,*)axai/+as,
*fortouna=tos,masculine,2.0,*fortouna/tou,
*)axai+ko/s,masculine,2.0,*)axai+kou=,
*)aku/las,masculine,1.0,*)aku/lou,*)aku/lan
*pri/ska,feminine,1.0,*pri/skou,*pri/skan
mara/na,masculine,3.0,,mara/na
diaspora/,feminine,1.0,diaspora=s,
doki/mion,neuter,2.0,,
a)/nqos,neuter,3.0,,
eu)pre/peia,feminine,1.0,,
do/sis,feminine,3.0,do/sews,
dw/rhma,neuter,3.0,,
parallagh/,feminine,1.0,,
troph/,feminine,1.0,troph=s,
a)poski/asma,neuter,3.0,,
r(upari/a,feminine,1.0,r(upari/as,r(upari/an
perissei/a,feminine,1.0,perissei/as,perissei/an
poihth/s,masculine,1.0,poihtou=,"poihtai/, poihtw=n"
a)kroath/s,masculine,1.0,a)kroatou=,
e)pilhsmonh/,feminine,1.0,e)pilhsmonh=s,
poi/hsis,feminine,3.0,poih/sews,
qrhskei/a,feminine,1.0,qrhskei/as,
proswpolhmyi/a,feminine,1.0,proswpolhmyi/as,proswpolhmyi/ais
paraba/ths,masculine,1.0,paraba/tou,"paraba/tai, paraba/thn"
*(raa/b,feminine,3.0,,
phda/lion,neuter,2.0,phdali/ou,
o(rmh/,feminine,1.0,,
u(/lh,feminine,1.0,u(/lhs,
troxo/s,masculine,2.0,troxou=,
e(rpeto/n,neuter,2.0,e(rpetou=,
i)o/s,masculine,2.0,i)ou=,
o(moi/wsis,feminine,3.0,o(moiw/sews,
kata/ra,feminine,1.0,kata/ras,
o)ph/,feminine,1.0,o)ph=s,
a)nastrofh/,feminine,1.0,a)nastrofh=s,
e)riqei/a,feminine,1.0,e)riqei/as,
ma/xh,feminine,1.0,ma/xhs,
fili/a,feminine,1.0,,
fqo/nos,masculine,2.0,fqo/nou,
ge/lws,masculine,3.0,,
kath/feia,feminine,1.0,kath/feias,kath/feian
nomoqe/ths,masculine,1.0,,
a)tmi/s,feminine,3.0,a)tmi/dos,a)tmi/da
a)lazonei/a,feminine,1.0,a)lazonei/as,
talaipwri/a,feminine,1.0,talaipwri/as,
boh/,feminine,1.0,boh=s,
*sabaw/q,masculine,3.0,*sabaw/q,*sabaw/q
sfagh/,feminine,1.0,sfagh=s,
u(po/deigma,neuter,3.0,u(podei/gmatos,"u(po/deigma, u(podei/gmati, u(podei/gmata"
kakopaqi/a,feminine,1.0,kakopaqi/as,
makroqumi/a,feminine,1.0,makroqumi/as,
*)iw/b,masculine,3.0,*)iw/b,
eu)xh/,feminine,1.0,eu)xh=s,
pla/nh,feminine,1.0,pla/nhs,
*silouano/s,masculine,2.0,*silouanou=,
*qessalonikeu/s,masculine,3.0,*qessalonike/ws,
mnei/a,feminine,1.0,mnei/as,"mnei/an, mnei/a|"
e)klogh/,feminine,1.0,e)klogh=s,
plhrofori/a,feminine,1.0,plhrofori/as,
ei)/sodos,feminine,2.0,ei)so/dou,
*fi/lippoi,masculine,3.0,*fili/ppwn,"*fili/ppois, *fili/ppous, *fili/ppwn"
a)gw/n,masculine,3.0,a)gw=nos,
a)kaqarsi/a,feminine,1.0,a)kaqarsi/as,
do/los,masculine,2.0,do/lou,
kolakei/a,feminine,1.0,kolakei/as,
trofo/s,feminine,2.0,,
mo/xqos,masculine,2.0,mo/xqou,
sumfule/ths,masculine,1.0,sumfule/tou,sumfuletw=n
*)aqh=nai,feminine,1.0,*)aqhnw=n,"*)aqh/nais, *)aqhnw=n"
a(giwsu/nh,feminine,1.0,a(giwsu/nhs,
paraggeli/a,feminine,1.0,paraggeli/as,
pa/qos,neuter,3.0,pa/qous,"pa/qei, pa/qh, pa/qos"
filadelfi/a,feminine,1.0,filadelfi/as,
ke/leusma,neuter,3.0,keleu/smatos,keleu/smati
a)rxa/ggelos,masculine,2.0,a)rxagge/lou,
a)pa/nthsis,feminine,3.0,a)panth/sews,a)pa/nthsin
w)di/n,feminine,3.0,w)di/nos,"w)di=nas, w)di/nwn"
perikefalai/a,feminine,1.0,perikefalai/as,perikefalai/an
peripoi/hsis,feminine,3.0,peripoih/sews,
a)mno/s,masculine,2.0,a)mnou=,
r(abbi/,masculine,3.0,r(abbi/,r(abbi/
*messi/as,masculine,1.0,*messi/ou,*messi/an
*naqanah/l,masculine,3.0,*naqanah/l,*naqanah/l
*nazare/t,feminine,3.0,*nazare/t,
*)israhli/ths,masculine,1.0,*)israhli/tou,*)israhli=tai
*kana/,feminine,1.0,*kana/,
u(dri/a,feminine,1.0,u(dri/as,
metrhth/s,masculine,1.0,metrhtou=,metrhta/s
a)rxitri/klinos,masculine,2.0,a)rxitrikli/nou,a)rxitrikli/nw|
kermatisth/s,masculine,1.0,kermatistou=,kermatista/s
frage/llion,neuter,2.0,fragelli/ou,frage/llion
sxoini/on,neuter,2.0,sxoini/ou,"sxoini/wn, sxoini/a"
kollubisth/s,masculine,1.0,kollubistou=,kollubistw=n
ke/rma,neuter,3.0,ke/rmatos,ke/rmata
e)mpo/rion,neuter,2.0,e)mpori/ou,
*niko/dhmos,masculine,2.0,,
ge/rwn,masculine,3.0,,
*ai)nw/n,feminine,3.0,*ai)nw/n,*ai)nw/n
*salei/m,neuter,3.0,*salei/m,
zh/thsis,feminine,3.0,zhth/sews,
*suxa/r,feminine,3.0,*suxa/r,*suxa/r
xwri/on,neuter,2.0,xwri/ou,
o(doipori/a,feminine,1.0,o(doipori/as,
*samari=tis,feminine,3.0,*samari/tidos,
dwrea/,feminine,1.0,dwrea=s,
a)/ntlhma,neuter,3.0,a)ntlh/matos,a)/ntlhma
qre/mma,neuter,3.0,qre/mmatos,qre/mmata
proskunhth/s,masculine,1.0,proskunhtou=,proskunhtai/
lalia/,feminine,1.0,lalia=s,
te/ras,neuter,3.0,te/ratos,"te/rata, tera/twn, te/rasi(n)"
kolumbh/qra,feminine,1.0,kolumbh/qras,
*bhqesda/,feminine,1.0,,
stoa/,feminine,1.0,stoa=s,"stoa/s, stoa=|"
kra/battos,masculine,2.0,kraba/ttou,
*tiberia/s,feminine,3.0,*tiberia/dos,
paida/rion,neuter,2.0,,
o)ya/rion,neuter,2.0,o)yari/ou,"o)ya/ria, o)yari/wn, o)ya/rion"
ploia/rion,neuter,2.0,ploiari/ou,"ploia/ria, ploiari/w|"
po/sis,feminine,3.0,po/sews,po/sei
skhnophgi/a,feminine,1.0,,
parrhsi/a,feminine,1.0,parrhsi/as,
goggusmo/s,masculine,2.0,goggusmou=,
*(ierosolumi/ths,masculine,1.0,*(ierosolumi/tou,"*(ierosolumitw=n, *(ierosolumi=tai"
a)nqrwpokto/nos,masculine,2.0,,
yeu/sths,masculine,1.0,yeu/stou,"yeu=stai, yeu/sthn, yeu/stais"
geneth/,feminine,1.0,geneth=s,
phlo/s,masculine,2.0,phlou=,
ptu/sma,neuter,3.0,ptu/smatos,
prosai/ths,masculine,1.0,,
qurwro/s,masculine,2.0,qurwrou=,qurwrw=|
paroimi/a,feminine,1.0,paroimi/as,
nomh/,feminine,1.0,nomh=s,
e)gkai/nia,neuter,2.0,e)gkaini/wn,e)gkai/nia
xeimw/n,masculine,3.0,xeimw=nos,
koi/mhsis,feminine,3.0,koimh/sews,
*di/dumos,masculine,2.0,,
summaqhth/s,masculine,1.0,summaqhtou=,summaqhtai=s
keiri/a,feminine,1.0,keiri/ou,keiri/ais
*)efrai/m,masculine,3.0,*)efrai/m,*)efrai/m
li/tra,feminine,1.0,li/tras,"li/tran, li/tras"
na/rdos,feminine,2.0,na/rdou,
o)smh/,feminine,1.0,o)smh=s,
glwsso/komon,neuter,2.0,glwssoko/mou,glwsso/komon
e)ntafiasmo/s,masculine,2.0,e)ntafiasmou=,
ba/i+on,neuter,2.0,bai/+ou,bai/+a
u(pa/nthsis,feminine,3.0,u(panth/sews,u(pa/nthsin
o)na/rion,neuter,2.0,o)nari/ou,o)na/rion
o)/nos,feminine,2.0,o)/nou,
le/ntion,neuter,2.0,le/ntiou,"le/ntion, lenti/w|"
nipth/r,masculine,3.0,nipth/ros,nipth=ra
pte/rna,feminine,1.0,pte/rnhs,
ywmi/on,neuter,2.0,ywmi/ou,ywmi/on
tekni/on,neuter,2.0,tekn/iou,tekni/a
monh/,feminine,1.0,monh=s,"monai/, monh/n"
para/klhtos,masculine,2.0,paraklh/tou,para/klhton
klh=ma,neuter,3.0,klh/matos,"klh=ma, klh/mata"
latrei/a,feminine,1.0,latrei/as,
xei/marros,masculine,2.0,xeima/rrou,
*kedrw/n,masculine,3.0,*kedrw/n,
spei=ra,feminine,1.0,spei/rhs,
fano/s,masculine,2.0,fa/nou,fanw=n
o(/plon,neuter,2.0,o(/plou,
w)ta/rion,neuter,2.0,w)tari/ou,w)ta/rion
*ma/lxos,masculine,2.0,,
qh/kh,feminine,1.0,qh/khs,
penqero/s,masculine,2.0,,
qurwro/s,feminine,2.0,qurwrou=,qurwrw=|
a)nqrakia/,feminine,1.0,a)nqrakia=s,
yu=xos,neuter,3.0,yu/xous,"yu=xos, yu/xei"
r(a/pisma,neuter,3.0,r(api/smatos,"r(a/pisma, r(api/smata, r(api/smasi(n)"
praitw/rion,neuter,2.0,praitwri/ou,"praitw/rion, praitwri/w|"
kathgori/a,feminine,1.0,kathgori/as,"kathgori/an, kathgori/a|"
bh=ma,neuter,3.0,bh/matos,
*gabbaqa,neuter,3.0,*gabbaqa,*gabbaqa
*golgoqa=,feminine,3.0,*golgoqa=,"*golgoqa=n, *golgoqa="
ti/tlos,masculine,2.0,ti/tlou,ti/tlon
*klwpa=s,masculine,3.0,*klwpa=,
spo/ggos,masculine,2.0,spo/ggou,spo/ggon
u(/sswpos,feminine,2.0,u(ssw/pou,
ske/los,neuter,3.0,ske/lous,ske/lh
lo/gxh,feminine,1.0,lo/gxhs,lo/gxh|
pleura/,feminine,1.0,pleura=s,
mi/gma,neuter,3.0,mi/gmatos,mi/gma
smu/rna,feminine,1.0,smu/rnhs,
a)lo/h,feminine,1.0,a)lo/hs,
khpouro/s,masculine,2.0,,
rabbouni,masculine,3.0,,rabbouni
h(=los,masculine,2.0,h(/lou,h(/lwn
prwi/+a,feminine,1.0,prwi/+as,
ai)gialo/s,masculine,2.0,ai)gialou=,ai)gialo/n
prosfa/gion,neuter,2.0,prosfagi/ou,prosfa/gion
e)pendu/ths,masculine,1.0,e)pendu/tou,e)pendu/thn
u(pakoh/,feminine,1.0,u(pakoh=s,
*(rw/mh,feminine,1.0,*(rw/mhs,
a)se/beia,feminine,1.0,a)sebei/as,
poi/hma,neuter,3.0,poih/matos,poih/masi(n)
qeio/ths,feminine,1.0,,
xrh=sis,feminine,3.0,xrh/sews,xrh=sin
o)/recis,feminine,3.0,o)re/cews,
a)ntimisqi/a,feminine,1.0,a)ntimisqi/as,a)ntimisqi/an
e)pi/gnwsis,feminine,3.0,e)pignw/sews,
kakoh/qeia,feminine,1.0,kakohqei/as,
yiquristh/s,masculine,1.0,yiquristou=,yiqurista/s
u(bristh/s,masculine,1.0,u(bristou=,
a)lazw/n,masculine,3.0,a)lazo/nos,"a)lazo/nas, a)lazo/nes"
e)feureth/s,masculine,1.0,e)feuretou=,e)feureta/s
xrhsto/ths,feminine,3.0,xrhsto/thtos,
a)noxh/,feminine,1.0,a)noxh=s,
sklhro/ths,feminine,1.0,sklhro/tou,sklhro/thta
dikaiokrisi/a,feminine,1.0,dikaiokrisi/as,
stenoxwri/a,feminine,1.0,stenoxwri/as,stenoxwri/ais
logismo/s,masculine,2.0,logismou=,
o(dhgo/s,masculine,2.0,o(dhgou=,
paideuth/s,masculine,1.0,paideutou=,"paideuth/n, paideuta/s"
mo/rfwsis,feminine,3.0,morfw/sews,mo/rfwsin
para/basis,feminine,3.0,paraba/sews,
w)fe/leia,feminine,1.0,w)felei/as,
lo/gion,neuter,2.0,logi/ou,"lo/gia, logi/wn"
a)pisti/a,feminine,1.0,a)pisti/as,
yeu=sma,neuter,3.0,yeu/smatos,yeu/smati
ta/fos,masculine,2.0,ta/fou,
la/rugc,masculine,3.0,,
a)spi/s,feminine,3.0,a)spi/dos,a)spi/dwn
a)ra/,feminine,1.0,a)ra=s,
pikri/a,feminine,1.0,pikri/as,
su/ntrimma,neuter,3.0,,
i(lasth/rion,neuter,2.0,i(lasthri/ou,
e)/ndeicis,feminine,3.0,e)ndei/cews,e)/ndeicin
pa/resis,feminine,3.0,pare/sews,pa/resin
propa/twr,masculine,3.0,propa/toros,propa/tora
o)fei/lhma,neuter,3.0,o)feilh/matos,"o)fei/lhma, o)feilh/mata"
makarismo/s,masculine,2.0,makarismou=,makarismo/n
a)nomi/a,feminine,1.0,a)nomi/as,
i)/xnos,neuter,3.0,i)/xnous,i)/xnesi(n)
ne/krwsis,feminine,3.0,nekrw/sews,ne/krwsin
*sa/rra,feminine,1.0,*sa/rras,
para/ptwma,neuter,3.0,paraptw/matos,
dikai/wsis,feminine,3.0,dikaiw/sews,dikai/wsin
prosagwgh/,feminine,1.0,prosagwgh=s,prosagwgh/n
dokimh/,feminine,1.0,dokimh=s,
katallagh/,feminine,1.0,katallagh=s,
kata/krima,neuter,3.0,katakri/matos,kata/krima
parakoh/,feminine,1.0,parakoh=s,
kaino/ths,feminine,3.0,kaino/thtos,kaino/thti
pa/qhma,neuter,3.0,paqh/matos,"paqh/mata, paqhma/twn, paqh/masi(n), pa/qhma"
palaio/ths,feminine,3.0,palaio/thtos,palaio/thti
a)formh/,feminine,1.0,a)formh=s,
fro/nhma,neuter,3.0,,
doulei/a,feminine,1.0,doulei/as,
ui(oqesi/a,feminine,1.0,ui(oqesi/as,
abba,masculine,3.0,,abba
a)pokaradoki/a,feminine,1.0,a)pokaradoki/as,a)pokaradoki/an
mataio/ths,feminine,3.0,mataio/thtos,
stenagmo/s,masculine,2.0,stenagmou=,
diwgmo/s,masculine,2.0,diwgmou=,
ki/ndunos,masculine,2.0,kindu/nou,kindu/nois
u(/ywma,neuter,3.0,u(yw/matos,u(/ywma
o)du/nh,feminine,1.0,o)du/nhs,
nomoqesi/a,feminine,1.0,,
*(rebe/kka,feminine,1.0,,
*)hsau=,masculine,3.0,*)hsau=,*)hsau=
*faraw/,masculine,3.0,*faraw/,
bou/lhma,neuter,3.0,boulh/matos,
pla/sma,neuter,3.0,,
kerameu/s,masculine,3.0,kerame/ws,
*(wshe/,masculine,3.0,*(wshe/,*(wshe/
u(po/leimma,neuter,3.0,,
*go/morra,feminine,1.0,*gomo/rras,
xrhmatismo/s,masculine,2.0,,
*ba/al,masculine,3.0,*ba/al,
lei=mma,neuter,3.0,,
kata/nucis,feminine,3.0,katanu/cews,
qh/ra,feminine,1.0,qh/ras,qh/ran
nw=tos,masculine,2.0,nw/tou,
a)pobolh/,feminine,1.0,,
pro/slhmyis,feminine,3.0,,
a)grie/laios,feminine,2.0,a)grielai/ou,
pio/ths,feminine,3.0,pio/thtos,
a)potomi/a,feminine,1.0,a)potomi/as,a)potomi/an
kallie/laios,feminine,2.0,kallielai/ou,kallie/laion
pw/rwsis,feminine,3.0,pwrw/sews,"pwrw/sei, pw/rwsin"
a)pei/qeia,feminine,1.0,a)peiqei/as,
su/mboulos,masculine,2.0,,
oi)ktirmo/s,masculine,2.0,oi)ktirmou=,
a)nakai/nwsis,feminine,3.0,a)nakainw/sews,
a)nalogi/a,feminine,1.0,a)nalogi/as,a)nalogi/an
didaskali/a,feminine,1.0,didaskali/as,
a(plo/ths,feminine,3.0,a(plo/thtos,
i(laro/ths,feminine,3.0,i(laro/thtos,i(laro/thti
filoceni/a,feminine,1.0,filoceni/as,
a)/nqrac,masculine,3.0,a)/nqrakos,
diatagh/,feminine,1.0,diatagh=s,"diatagh=|, diataga/s"
leitourgo/s,masculine,2.0,leitourgou=,"leitourgoi/, leitourgo/n, leitourgou/s"
kw=mos,masculine,2.0,kw/mou,"kw/mois, kw=moi"
a)se/lgeia,feminine,1.0,a)selgei/as=,"a)selgei/ais, a)selgei/a|, a)se/lgeian"
pro/noia,feminine,1.0,pronoi/as,
a)sqe/nhma,neuter,3.0,a)sqenh/matos,a)sqenh/mata
o)neidismo/s,masculine,2.0,o)neidismou=,
a)gaqwsu/nh,feminine,1.0,a)gaqwsu/nhs,
prosfora/,feminine,1.0,prosfora=s,
*)illuriko/n,neuter,2.0,*)illurikou=,
kli/ma,neuter,3.0,kli/matos,"kli/masi(n), kli/mata"
e)pipoqi/a,feminine,1.0,e)pipoqi/as,e)pipoqi/an
*spani/a,feminine,1.0,*spani/as,
*foi/bh,feminine,1.0,*foi/bhs,*foi/bhn
dia/konos,feminine,2.0,diako/nou,"dia/konoi, diako/nois, dia/konon, diako/nous"
*kegxreai/,feminine,1.0,*kegxrew=n,*kegxreai=s
prosta/tis,feminine,3.0,,
*)epai/netos,masculine,2.0,*)epaine/tou,*)epai/neton
*)andro/nikos,masculine,2.0,*)andronik/ou,*)andro/nikon
*)iouni/a,feminine,1.0,*)iouni/as,*)iouni/an
sunaixma/lwtos,masculine,2.0,sunaixmalw/tou,sunaixmalw/tous
*)amplia=tos,masculine,2.0,*)amplia/tou,*)amplia=ton
*ou)rbano/s,masculine,2.0,*ou)rbanou=,*ou)rbano/n
*sta/xus,masculine,3.0,*sta/xuos,*sta/xun
*)apellh=s,masculine,1.0,*)apellou=,*)apellh=n
*)aristo/boulos,masculine,2.0,*)aristobou/lou,
*(hrw|di/wn,masculine,3.0,*(hrw|diw/nos,*(hrw|di/wna
*na/rkissos,masculine,2.0,*narki/ssou,
*tru/faina,feminine,1.0,*trufai/nas,*tru/fainan
*trufw=sa,feminine,1.0,*trufw/sas,*trufw=san
*persi/s,feminine,3.0,*persi/dos,*persi/da
*(rou=fos,masculine,2.0,*(rou/fou,
*)asu/gkritos,masculine,2.0,*)asugkri/tou,*)asu/gkriton
*fle/gwn,masculine,3.0,*fle/gontos,*fle/gonta
*(ermh=s,masculine,1.0,*(ermou=,*(ermh=n
*patroba=s,masculine,3.0,*patroba=,*patroba=n
